1) a = -9 | b = -9 | c = 0
98) a = -8 | b = -8.4 | c = -1.6

99) a = -8 | b = -8.4 | c = 0

100) a = -8 | b = -8.4 | c = 2.6

101) a = -8 | b = -8 | c = -2

102) a = -8 | b = -8 | c = -1.5

103) a = -8 | b = -8 | c = 0

104) a = -8 | b = -8 | c = 2.5

105) a = -8 | b = -8 | c = 6

106) a = -8 | b = -7.6 | c = 0

107) a = -8 | b = -7.6 | c = 2.4

108) a = -8 | b = -7.6 | c = 5.8

109) a = -8 | b = -7.2 | c = -1.3

110) a = -8 | b = -7.2 | c = 0

111) a = -8 | b = -6.8 | c = 0

112) a = -8 | b = -6.8 | c = 5.4

113) a = -8 | b = -6.4 | c = 0

114) a = -8 | b = -6.4 | c = 2.1

115) a = -8 | b = -6.4 | c = 5.2

116) a = -8 | b = -6 | c = -1

117) a = -8 | b = -6 | c = 0

118) a = -8 | b = -6 | c = 2

119) a = -8 | b = -6 | c = 5

120) a = -8 | b = -6 | c = 9

121) a = -8 | b = -5.6 | c = 0

122) a = -8 | b = -5.6 | c = 1.9

123) a = -8 | b = -5.6 | c = 4.8

124) a = -8 | b = -5.6 | c = 5.5

125) a = -8 | b = -5.2 | c = 0

126) a = -8 | b = -5.2 | c = 8.4

127) a = -8 | b = -4.8 | c = 0

128) a = -8 | b = -4.8 | c = 4.4

129) a = -8 | b = -4.8 | c = 8.1

130) a = -8 | b = -4.4 | c = 0

131) a = -8 | b = -4.4 | c = 1.6

132) a = -8 | b = -4.4 | c = 4.2

133) a = -8 | b = -4.4 | c = 7

134) a = -8 | b = -4 | c = -0.5

135) a = -8 | b = -4 | c = 0

136) a = -8 | b = -4 | c = 1.5

137) a = -8 | b = -4 | c = 4

138) a = -8 | b = -4 | c = 7.5

139) a = -8 | b = -3.6 | c = 0

140) a = -8 | b = -3.6 | c = 3.8

141) a = -8 | b = -3.6 | c = 4.4

142) a = -8 | b = -3.6 | c = 7.2

143) a = -8 | b = -3.2 | c = 0

144) a = -8 | b = -3.2 | c = 1.3

145) a = -8 | b = -2.8 | c = 0

146) a = -8 | b = -2.8 | c = 1.2

147) a = -8 | b = -2.4 | c = 0

148) a = -8 | b = -2.4 | c = 1.1

149) a = -8 | b = -2.4 | c = 3.2

150) a = -8 | b = -2.4 | c = 5.6

151) a = -8 | b = -2.4 | c = 6.3

152) a = -8 | b = -2 | c = 0

153) a = -8 | b = -2 | c = 1

154) a = -8 | b = -2 | c = 3

155) a = -8 | b = -2 | c = 6

156) a = -8 | b = -1.6 | c = 0

157) a = -8 | b = -1.6 | c = 2.8

158) a = -8 | b = -1.6 | c = 3.3

159) a = -8 | b = -1.6 | c = 5.7

160) a = -8 | b = -1.6 | c = 6.4

161) a = -8 | b = -1.2 | c = 0

162) a = -8 | b = -1.2 | c = 0.8

163) a = -8 | b = -1.2 | c = 1.4

164) a = -8 | b = -0.8 | c = 0

165) a = -8 | b = -0.8 | c = 0.7

166) a = -8 | b = -0.8 | c = 1.6

167) a = -8 | b = -0.8 | c = 8.8

168) a = -8 | b = -0.4 | c = 0

169) a = -8 | b = -0.4 | c = 0.4

170) a = -8 | b = -0.4 | c = 2.2

171) a = -8 | b = -0.4 | c = 4.2

172) a = -8 | b = -0.4 | c = 4.8

173) a = -8 | b = -0.4 | c = 7.6

174) a = -8 | b = 0 | c = 0

175) a = -8 | b = 0 | c = 0.5

176) a = -8 | b = 0 | c = 2

177) a = -8 | b = 0 | c = 4.5

178) a = -8 | b = 0 | c = 8

179) a = -8 | b = 0.4 | c = 0

180) a = -8 | b = 0.4 | c = 0.4

181) a = -8 | b = 0.4 | c = 2.2

182) a = -8 | b = 0.4 | c = 4.2

183) a = -8 | b = 0.4 | c = 4.8

184) a = -8 | b = 0.4 | c = 7.6

185) a = -8 | b = 0.8 | c = 0

186) a = -8 | b = 0.8 | c = 0.7

187) a = -8 | b = 0.8 | c = 1.6

188) a = -8 | b = 0.8 | c = 8.8

189) a = -8 | b = 1.2 | c = 0

190) a = -8 | b = 1.2 | c = 0.8

191) a = -8 | b = 1.2 | c = 1.4

192) a = -8 | b = 1.6 | c = 0

193) a = -8 | b = 1.6 | c = 2.8

194) a = -8 | b = 1.6 | c = 3.3

195) a = -8 | b = 1.6 | c = 5.7

196) a = -8 | b = 1.6 | c = 6.4

197) a = -8 | b = 2 | c = 0

198) a = -8 | b = 2 | c = 1

199) a = -8 | b = 2 | c = 3

200) a = -8 | b = 2 | c = 6

201) a = -8 | b = 2.4 | c = 0

202) a = -8 | b = 2.4 | c = 1.1

203) a = -8 | b = 2.4 | c = 3.2

204) a = -8 | b = 2.4 | c = 5.6

205) a = -8 | b = 2.4 | c = 6.3

206) a = -8 | b = 2.8 | c = 0

207) a = -8 | b = 2.8 | c = 1.2

208) a = -8 | b = 3.2 | c = 0

209) a = -8 | b = 3.2 | c = 1.3

210) a = -8 | b = 3.6 | c = 0

211) a = -8 | b = 3.6 | c = 3.8

212) a = -8 | b = 3.6 | c = 4.4

213) a = -8 | b = 3.6 | c = 7.2

214) a = -8 | b = 4 | c = -0.5

215) a = -8 | b = 4 | c = 0

216) a = -8 | b = 4 | c = 1.5

217) a = -8 | b = 4 | c = 4

218) a = -8 | b = 4 | c = 7.5

219) a = -8 | b = 4.4 | c = 0

220) a = -8 | b = 4.4 | c = 1.6

221) a = -8 | b = 4.4 | c = 4.2

222) a = -8 | b = 4.4 | c = 7

223) a = -8 | b = 4.8 | c = 0

224) a = -8 | b = 4.8 | c = 4.4

225) a = -8 | b = 4.8 | c = 8.1

226) a = -8 | b = 5.2 | c = 0

227) a = -8 | b = 5.2 | c = 8.4

228) a = -8 | b = 5.6 | c = 0

229) a = -8 | b = 5.6 | c = 1.9

230) a = -8 | b = 5.6 | c = 4.8

231) a = -8 | b = 5.6 | c = 5.5

232) a = -8 | b = 6 | c = -1

233) a = -8 | b = 6 | c = 0

234) a = -8 | b = 6 | c = 2

235) a = -8 | b = 6 | c = 5

236) a = -8 | b = 6 | c = 9

237) a = -8 | b = 6.4 | c = 0

238) a = -8 | b = 6.4 | c = 2.1

239) a = -8 | b = 6.4 | c = 5.2

240) a = -8 | b = 6.8 | c = 0

241) a = -8 | b = 6.8 | c = 5.4

242) a = -8 | b = 7.2 | c = -1.3

243) a = -8 | b = 7.2 | c = 0

244) a = -8 | b = 7.6 | c = 0

245) a = -8 | b = 7.6 | c = 2.4

246) a = -8 | b = 7.6 | c = 5.8

247) a = -8 | b = 8 | c = -2

248) a = -8 | b = 8 | c = -1.5

249) a = -8 | b = 8 | c = 0

250) a = -8 | b = 8 | c = 2.5

251) a = -8 | b = 8 | c = 6

252) a = -8 | b = 8.4 | c = -1.6

253) a = -8 | b = 8.4 | c = 0

254) a = -8 | b = 8.4 | c = 2.6

255) a = -8 | b = 8.8 | c = 0

256) a = -8 | b = 8.8 | c = 2.7

257) a = -8 | b = 8.8 | c = 6.4

258) a = -7.9 | b = -7.9 | c = 0

259) a = -7.9 | b = 0 | c = 0

260) a = -7.9 | b = 0 | c = 7.9

261) a = -7.9 | b = 7.9 | c = 0

262) a = -7.8 | b = -7.8 | c = 0

263) a = -7.8 | b = -3.9 | c = 0

264) a = -7.8 | b = 0 | c = 0

265) a = -7.8 | b = 0 | c = 7.8

266) a = -7.8 | b = 3.9 | c = 0

267) a = -7.8 | b = 7.8 | c = 0

268) a = -7.7 | b = -7.7 | c = 0

269) a = -7.7 | b = 0 | c = 0

270) a = -7.7 | b = 0 | c = 7.7

271) a = -7.7 | b = 7.7 | c = 0

272) a = -7.6 | b = -7.6 | c = -1.9

273) a = -7.6 | b = -7.6 | c = 0

274) a = -7.6 | b = -5.7 | c = 1.9

275) a = -7.6 | b = -3.8 | c = 0

276) a = -7.6 | b = -1.9 | c = 0

277) a = -7.6 | b = 0 | c = 0

278) a = -7.6 | b = 0 | c = 1.9

279) a = -7.6 | b = 0 | c = 7.6

280) a = -7.6 | b = 1.9 | c = 0

281) a = -7.6 | b = 3.8 | c = 0

282) a = -7.6 | b = 5.7 | c = 1.9

283) a = -7.6 | b = 7.6 | c = -1.9

284) a = -7.6 | b = 7.6 | c = 0

285) a = -7.5 | b = -9 | c = -2.7

286) a = -7.5 | b = -9 | c = -2.4

287) a = -7.5 | b = -9 | c = -1.5

288) a = -7.5 | b = -9 | c = 0

289) a = -7.5 | b = -9 | c = 2.1

290) a = -7.5 | b = -9 | c = 4.8

291) a = -7.5 | b = -9 | c = 8.1

292) a = -7.5 | b = -8.7 | c = 0

293) a = -7.5 | b = -8.4 | c = 0

294) a = -7.5 | b = -7.8 | c = 0

295) a = -7.5 | b = -7.5 | c = -1.8

296) a = -7.5 | b = -7.5 | c = -1.2

297) a = -7.5 | b = -7.5 | c = 0

298) a = -7.5 | b = -7.5 | c = 1.8

299) a = -7.5 | b = -7.5 | c = 4.2

300) a = -7.5 | b = -7.5 | c = 7.2

301) a = -7.5 | b = -6.9 | c = 0

302) a = -7.5 | b = -6.6 | c = 0

303) a = -7.5 | b = -6.3 | c = 0

304) a = -7.5 | b = -6 | c = -1.2

305) a = -7.5 | b = -6 | c = -0.9

306) a = -7.5 | b = -6 | c = 0

307) a = -7.5 | b = -6 | c = 1.5

308) a = -7.5 | b = -6 | c = 3.6

309) a = -7.5 | b = -6 | c = 6.3

310) a = -7.5 | b = -5.7 | c = 0

311) a = -7.5 | b = -4.8 | c = 0

312) a = -7.5 | b = -4.8 | c = 2.7

313) a = -7.5 | b = -4.5 | c = -0.6

314) a = -7.5 | b = -4.5 | c = 0

315) a = -7.5 | b = -4.5 | c = 1.2

316) a = -7.5 | b = -4.5 | c = 3

317) a = -7.5 | b = -4.5 | c = 5.4

318) a = -7.5 | b = -4.5 | c = 8.4

319) a = -7.5 | b = -4.2 | c = 0

320) a = -7.5 | b = -3.9 | c = 0

321) a = -7.5 | b = -3.6 | c = 3.9

322) a = -7.5 | b = -3.3 | c = 0

323) a = -7.5 | b = -3 | c = -0.3

324) a = -7.5 | b = -3 | c = 0

325) a = -7.5 | b = -3 | c = 0.9

326) a = -7.5 | b = -3 | c = 2.4

327) a = -7.5 | b = -3 | c = 4.5

328) a = -7.5 | b = -3 | c = 7.2

329) a = -7.5 | b = -2.4 | c = 0

330) a = -7.5 | b = -2.1 | c = 0

331) a = -7.5 | b = -1.5 | c = 0

332) a = -7.5 | b = -1.5 | c = 0.6

333) a = -7.5 | b = -1.5 | c = 1.8

334) a = -7.5 | b = -1.5 | c = 3.6

335) a = -7.5 | b = -1.5 | c = 6

336) a = -7.5 | b = -1.5 | c = 9

337) a = -7.5 | b = -1.2 | c = 0

338) a = -7.5 | b = -1.2 | c = 8.7

339) a = -7.5 | b = -0.9 | c = 6.6

340) a = -7.5 | b = -0.9 | c = 8.4

341) a = -7.5 | b = -0.6 | c = 0

342) a = -7.5 | b = -0.6 | c = 6.9

343) a = -7.5 | b = -0.3 | c = 0

344) a = -7.5 | b = -0.3 | c = 7.8

345) a = -7.5 | b = 0 | c = 0

346) a = -7.5 | b = 0 | c = 0.3

347) a = -7.5 | b = 0 | c = 1.2

348) a = -7.5 | b = 0 | c = 2.7

349) a = -7.5 | b = 0 | c = 4.8

350) a = -7.5 | b = 0 | c = 7.5

351) a = -7.5 | b = 0.3 | c = 0

352) a = -7.5 | b = 0.3 | c = 7.8

353) a = -7.5 | b = 0.6 | c = 0

354) a = -7.5 | b = 0.6 | c = 6.9

355) a = -7.5 | b = 0.9 | c = 6.6

356) a = -7.5 | b = 0.9 | c = 8.4

357) a = -7.5 | b = 1.2 | c = 0

358) a = -7.5 | b = 1.2 | c = 8.7

359) a = -7.5 | b = 1.5 | c = 0

360) a = -7.5 | b = 1.5 | c = 0.6

361) a = -7.5 | b = 1.5 | c = 1.8

362) a = -7.5 | b = 1.5 | c = 3.6

363) a = -7.5 | b = 1.5 | c = 6

364) a = -7.5 | b = 1.5 | c = 9

365) a = -7.5 | b = 2.1 | c = 0

366) a = -7.5 | b = 2.4 | c = 0

367) a = -7.5 | b = 3 | c = -0.3

368) a = -7.5 | b = 3 | c = 0

369) a = -7.5 | b = 3 | c = 0.9

370) a = -7.5 | b = 3 | c = 2.4

371) a = -7.5 | b = 3 | c = 4.5

372) a = -7.5 | b = 3 | c = 7.2

373) a = -7.5 | b = 3.3 | c = 0

374) a = -7.5 | b = 3.6 | c = 3.9

375) a = -7.5 | b = 3.9 | c = 0

376) a = -7.5 | b = 4.2 | c = 0

377) a = -7.5 | b = 4.5 | c = -0.6

378) a = -7.5 | b = 4.5 | c = 0

379) a = -7.5 | b = 4.5 | c = 1.2

380) a = -7.5 | b = 4.5 | c = 3

381) a = -7.5 | b = 4.5 | c = 5.4

382) a = -7.5 | b = 4.5 | c = 8.4

383) a = -7.5 | b = 4.8 | c = 0

384) a = -7.5 | b = 4.8 | c = 2.7

385) a = -7.5 | b = 5.7 | c = 0

386) a = -7.5 | b = 6 | c = -1.2

387) a = -7.5 | b = 6 | c = -0.9

388) a = -7.5 | b = 6 | c = 0

389) a = -7.5 | b = 6 | c = 1.5

390) a = -7.5 | b = 6 | c = 3.6

391) a = -7.5 | b = 6 | c = 6.3

392) a = -7.5 | b = 6.3 | c = 0

393) a = -7.5 | b = 6.6 | c = 0

394) a = -7.5 | b = 6.9 | c = 0

395) a = -7.5 | b = 7.5 | c = -1.8

396) a = -7.5 | b = 7.5 | c = -1.2

397) a = -7.5 | b = 7.5 | c = 0

398) a = -7.5 | b = 7.5 | c = 1.8

399) a = -7.5 | b = 7.5 | c = 4.2

400) a = -7.5 | b = 7.5 | c = 7.2

401) a = -7.5 | b = 7.8 | c = 0

402) a = -7.5 | b = 8.4 | c = 0

403) a = -7.5 | b = 8.7 | c = 0

404) a = -7.5 | b = 9 | c = -2.7

405) a = -7.5 | b = 9 | c = -2.4

406) a = -7.5 | b = 9 | c = -1.5

407) a = -7.5 | b = 9 | c = 0

408) a = -7.5 | b = 9 | c = 2.1

409) a = -7.5 | b = 9 | c = 4.8

410) a = -7.5 | b = 9 | c = 8.1

411) a = -7.4 | b = -7.4 | c = 0

412) a = -7.4 | b = -3.7 | c = 0

413) a = -7.4 | b = 0 | c = 0

414) a = -7.4 | b = 0 | c = 7.4

415) a = -7.4 | b = 3.7 | c = 0

416) a = -7.4 | b = 7.4 | c = 0

417) a = -7.3 | b = -7.3 | c = 0

418) a = -7.3 | b = 0 | c = 0

419) a = -7.3 | b = 0 | c = 7.3

420) a = -7.3 | b = 7.3 | c = 0

421) a = -7.2 | b = -9 | c = 0

422) a = -7.2 | b = -7.2 | c = -1.8

423) a = -7.2 | b = -7.2 | c = 0

424) a = -7.2 | b = -7.2 | c = 5.4

425) a = -7.2 | b = -5.4 | c = 0

426) a = -7.2 | b = -3.6 | c = 0

427) a = -7.2 | b = -1.8 | c = 0

428) a = -7.2 | b = -1.8 | c = 2.7

429) a = -7.2 | b = 0 | c = 0

430) a = -7.2 | b = 0 | c = 1.8

431) a = -7.2 | b = 0 | c = 7.2

432) a = -7.2 | b = 1.8 | c = 0

433) a = -7.2 | b = 1.8 | c = 2.7

434) a = -7.2 | b = 3.6 | c = 0

435) a = -7.2 | b = 5.4 | c = 0

436) a = -7.2 | b = 7.2 | c = -1.8

437) a = -7.2 | b = 7.2 | c = 0

438) a = -7.2 | b = 7.2 | c = 5.4

439) a = -7.2 | b = 9 | c = 0

440) a = -7.1 | b = -7.1 | c = 0

441) a = -7.1 | b = 0 | c = 0

442) a = -7.1 | b = 0 | c = 7.1

443) a = -7.1 | b = 7.1 | c = 0

444) a = -7 | b = -8.4 | c = 0

445) a = -7 | b = -7.7 | c = 0

446) a = -7 | b = -7.7 | c = 4.2

447) a = -7 | b = -7 | c = 0

448) a = -7 | b = -6.3 | c = 0

449) a = -7 | b = -4.9 | c = 4.2

450) a = -7 | b = -4.9 | c = 8.4

451) a = -7 | b = -4.2 | c = 0

452) a = -7 | b = -3.5 | c = 0

453) a = -7 | b = -3.5 | c = 3.5

454) a = -7 | b = -2.1 | c = 0

455) a = -7 | b = -1.4 | c = 8.4

456) a = -7 | b = -0.7 | c = 2.1

457) a = -7 | b = 0 | c = 0

458) a = -7 | b = 0 | c = 7

459) a = -7 | b = 0.7 | c = 2.1

460) a = -7 | b = 1.4 | c = 8.4

461) a = -7 | b = 2.1 | c = 0

462) a = -7 | b = 3.5 | c = 0

463) a = -7 | b = 3.5 | c = 3.5

464) a = -7 | b = 4.2 | c = 0

465) a = -7 | b = 4.9 | c = 4.2

466) a = -7 | b = 4.9 | c = 8.4

467) a = -7 | b = 6.3 | c = 0

468) a = -7 | b = 7 | c = 0

469) a = -7 | b = 7.7 | c = 0

470) a = -7 | b = 7.7 | c = 4.2

471) a = -7 | b = 8.4 | c = 0

472) a = -6.9 | b = -6.9 | c = 0

473) a = -6.9 | b = 0 | c = 0

474) a = -6.9 | b = 0 | c = 6.9

475) a = -6.9 | b = 6.9 | c = 0

476) a = -6.8 | b = -8.5 | c = 0

477) a = -6.8 | b = -6.8 | c = -1.7

478) a = -6.8 | b = -6.8 | c = 0

479) a = -6.8 | b = -6.8 | c = 5.1

480) a = -6.8 | b = -5.1 | c = 0

481) a = -6.8 | b = -3.4 | c = 0

482) a = -6.8 | b = -1.7 | c = 0

483) a = -6.8 | b = 0 | c = 0

484) a = -6.8 | b = 0 | c = 1.7

485) a = -6.8 | b = 0 | c = 6.8

486) a = -6.8 | b = 1.7 | c = 0

487) a = -6.8 | b = 3.4 | c = 0

488) a = -6.8 | b = 5.1 | c = 0

489) a = -6.8 | b = 6.8 | c = -1.7

490) a = -6.8 | b = 6.8 | c = 0

491) a = -6.8 | b = 6.8 | c = 5.1

492) a = -6.8 | b = 8.5 | c = 0

493) a = -6.7 | b = -6.7 | c = 0

494) a = -6.7 | b = 0 | c = 0

495) a = -6.7 | b = 0 | c = 6.7

496) a = -6.7 | b = 6.7 | c = 0

497) a = -6.6 | b = -6.6 | c = 0

498) a = -6.6 | b = -3.3 | c = 0

499) a = -6.6 | b = 0 | c = 0

500) a = -6.6 | b = 0 | c = 6.6

501) a = -6.6 | b = 3.3 | c = 0

502) a = -6.6 | b = 6.6 | c = 0

503) a = -6.5 | b = -7.8 | c = 0

504) a = -6.5 | b = -6.5 | c = 0

505) a = -6.5 | b = -5.2 | c = 0

506) a = -6.5 | b = -3.9 | c = 0

507) a = -6.5 | b = -2.6 | c = 0

508) a = -6.5 | b = -1.3 | c = 0

509) a = -6.5 | b = 0 | c = 0

510) a = -6.5 | b = 0 | c = 6.5

511) a = -6.5 | b = 1.3 | c = 0

512) a = -6.5 | b = 2.6 | c = 0

513) a = -6.5 | b = 3.9 | c = 0

514) a = -6.5 | b = 5.2 | c = 0

515) a = -6.5 | b = 6.5 | c = 0

516) a = -6.5 | b = 7.8 | c = 0

517) a = -6.4 | b = -8 | c = 0

518) a = -6.4 | b = -6.4 | c = -1.6

519) a = -6.4 | b = -6.4 | c = 0

520) a = -6.4 | b = -4.8 | c = 1.6

521) a = -6.4 | b = -3.2 | c = -0.4

522) a = -6.4 | b = -3.2 | c = 0

523) a = -6.4 | b = -1.6 | c = 0

524) a = -6.4 | b = -1.6 | c = 8

525) a = -6.4 | b = 0 | c = 0

526) a = -6.4 | b = 0 | c = 0.4

527) a = -6.4 | b = 0 | c = 1.6

528) a = -6.4 | b = 0 | c = 6.4

529) a = -6.4 | b = 1.6 | c = 0

530) a = -6.4 | b = 1.6 | c = 8

531) a = -6.4 | b = 3.2 | c = -0.4

532) a = -6.4 | b = 3.2 | c = 0

533) a = -6.4 | b = 4.8 | c = 1.6

534) a = -6.4 | b = 6.4 | c = -1.6

535) a = -6.4 | b = 6.4 | c = 0

536) a = -6.4 | b = 8 | c = 0

537) a = -6.3 | b = -6.3 | c = 0

538) a = -6.3 | b = 0 | c = 0

539) a = -6.3 | b = 0 | c = 6.3

540) a = -6.3 | b = 6.3 | c = 0

541) a = -6.2 | b = -6.2 | c = 0

542) a = -6.2 | b = -3.1 | c = 0

543) a = -6.2 | b = 0 | c = 0

544) a = -6.2 | b = 0 | c = 6.2

545) a = -6.2 | b = 3.1 | c = 0

546) a = -6.2 | b = 6.2 | c = 0

547) a = -6.1 | b = -6.1 | c = 0

548) a = -6.1 | b = 0 | c = 0

549) a = -6.1 | b = 0 | c = 6.1

550) a = -6.1 | b = 6.1 | c = 0

551) a = -6 | b = -9 | c = -3

552) a = -6 | b = -9 | c = 0

553) a = -6 | b = -9 | c = 6

554) a = -6 | b = -8.7 | c = 0

555) a = -6 | b = -8.4 | c = 7.2

556) a = -6 | b = -8.1 | c = 7.8

557) a = -6 | b = -7.8 | c = 0

558) a = -6 | b = -7.5 | c = -1.5

559) a = -6 | b = -7.5 | c = 0

560) a = -6 | b = -7.5 | c = 9

561) a = -6 | b = -7.2 | c = 0

562) a = -6 | b = -6.9 | c = 6.3

563) a = -6 | b = -6.3 | c = 0

564) a = -6 | b = -6 | c = -1.5

565) a = -6 | b = -6 | c = 0

566) a = -6 | b = -6 | c = 4.5

567) a = -6 | b = -5.4 | c = 0

568) a = -6 | b = -5.1 | c = 0

569) a = -6 | b = -4.5 | c = 0

570) a = -6 | b = -4.5 | c = 1.5

571) a = -6 | b = -4.2 | c = 1.8

572) a = -6 | b = -3.9 | c = 0

573) a = -6 | b = -3.9 | c = 4.5

574) a = -6 | b = -3.6 | c = 0

575) a = -6 | b = -3.6 | c = 8.1

576) a = -6 | b = -3 | c = 0

577) a = -6 | b = -3 | c = 3

578) a = -6 | b = -3 | c = 9

579) a = -6 | b = -2.7 | c = 0

580) a = -6 | b = -2.7 | c = 8.7

581) a = -6 | b = -2.4 | c = 2.7

582) a = -6 | b = -2.1 | c = 3.9

583) a = -6 | b = -1.8 | c = 0

584) a = -6 | b = -1.8 | c = 7.8

585) a = -6 | b = -1.5 | c = 0

586) a = -6 | b = -1.5 | c = 4.5

587) a = -6 | b = -1.5 | c = 7.5

588) a = -6 | b = -0.9 | c = 0

589) a = -6 | b = -0.9 | c = 5.1

590) a = -6 | b = -0.3 | c = 9

591) a = -6 | b = 0 | c = 0

592) a = -6 | b = 0 | c = 1.5

593) a = -6 | b = 0 | c = 6

594) a = -6 | b = 0.3 | c = 9

595) a = -6 | b = 0.9 | c = 0

