1) d = 81 | x1 = -1.0 | x2 = 0
84) d = 68.89 | x1 = 0 | x2 = 1.0

85) d = 67.24 | x1 = -1.0 | x2 = 0

86) d = 16.81 | x1 = -0.5 | x2 = 0

87) d = 0.0 | x1 = 0 | x2 = 0

88) d = 268.96 | x1 = -1.0 | x2 = 1.0

89) d = 16.81 | x1 = 0 | x2 = 0.5

90) d = 67.24 | x1 = 0 | x2 = 1.0

91) d = 65.61 | x1 = -1.0 | x2 = 0

92) d = 0.0 | x1 = 0 | x2 = 0

93) d = 262.44 | x1 = -1.0 | x2 = 1.0

94) d = 65.61 | x1 = 0 | x2 = 1.0

95) d = 77.44 | x1 = -1.1 | x2 = 0

96) d = 163.84 | x1 = -1.35 | x2 = 0.25

97) d = 282.24 | x1 = -1.6 | x2 = 0.5

98) d = 19.36 | x1 = -0.8 | x2 = -0.25

99) d = 70.56 | x1 = -1.05 | x2 = 0

100) d = 153.76 | x1 = -1.3 | x2 = 0.25

101) d = 0 | x1 = -0.5 | x2 = -0.5

102) d = 16.0 | x1 = -0.75 | x2 = -0.25

103) d = 64 | x1 = -1.0 | x2 = 0

104) d = 144.0 | x1 = -1.25 | x2 = 0.25

105) d = 256 | x1 = -1.5 | x2 = 0.5

106) d = 57.76 | x1 = -0.95 | x2 = 0

107) d = 134.56 | x1 = -1.2 | x2 = 0.25

108) d = 243.36 | x1 = -1.45 | x2 = 0.5

109) d = 10.24 | x1 = -0.65 | x2 = -0.25

110) d = 51.84 | x1 = -0.9 | x2 = 0

111) d = 46.24 | x1 = -0.85 | x2 = 0

112) d = 219.04 | x1 = -1.35 | x2 = 0.5

113) d = 40.96 | x1 = -0.8 | x2 = 0

114) d = 108.16 | x1 = -1.05 | x2 = 0.25

115) d = 207.36 | x1 = -1.3 | x2 = 0.5

116) d = 4 | x1 = -0.5 | x2 = -0.25

117) d = 36 | x1 = -0.75 | x2 = 0

118) d = 100 | x1 = -1.0 | x2 = 0.25

119) d = 196 | x1 = -1.25 | x2 = 0.5

120) d = 324 | x1 = -1.5 | x2 = 0.75

121) d = 31.36 | x1 = -0.7 | x2 = 0

122) d = 92.16 | x1 = -0.95 | x2 = 0.25

123) d = 184.96 | x1 = -1.2 | x2 = 0.5

124) d = 207.36 | x1 = -1.25 | x2 = 0.55

125) d = 27.04 | x1 = -0.65 | x2 = 0

126) d = 295.84 | x1 = -1.4 | x2 = 0.75

127) d = 23.04 | x1 = -0.6 | x2 = 0

128) d = 163.84 | x1 = -1.1 | x2 = 0.5

129) d = 282.24 | x1 = -1.35 | x2 = 0.75

130) d = 19.36 | x1 = -0.55 | x2 = 0

131) d = 70.56 | x1 = -0.8 | x2 = 0.25

132) d = 153.76 | x1 = -1.05 | x2 = 0.5

133) d = 243.36 | x1 = -1.25 | x2 = 0.7

134) d = 0.0 | x1 = -0.25 | x2 = -0.25

135) d = 16 | x1 = -0.5 | x2 = 0

136) d = 64.0 | x1 = -0.75 | x2 = 0.25

137) d = 144 | x1 = -1.0 | x2 = 0.5

138) d = 256.0 | x1 = -1.25 | x2 = 0.75

139) d = 12.96 | x1 = -0.45 | x2 = 0

140) d = 134.56 | x1 = -0.95 | x2 = 0.5

141) d = 153.76 | x1 = -1.0 | x2 = 0.55

142) d = 243.36 | x1 = -1.2 | x2 = 0.75

143) d = 10.24 | x1 = -0.4 | x2 = 0

144) d = 51.84 | x1 = -0.65 | x2 = 0.25

145) d = 7.84 | x1 = -0.35 | x2 = 0

146) d = 46.24 | x1 = -0.6 | x2 = 0.25

147) d = 5.76 | x1 = -0.3 | x2 = 0

148) d = 40.96 | x1 = -0.55 | x2 = 0.25

149) d = 108.16 | x1 = -0.8 | x2 = 0.5

150) d = 184.96 | x1 = -1.0 | x2 = 0.7

151) d = 207.36 | x1 = -1.05 | x2 = 0.75

152) d = 4 | x1 = -0.25 | x2 = 0

153) d = 36 | x1 = -0.5 | x2 = 0.25

154) d = 100 | x1 = -0.75 | x2 = 0.5

155) d = 196 | x1 = -1.0 | x2 = 0.75

156) d = 2.56 | x1 = -0.2 | x2 = 0

157) d = 92.16 | x1 = -0.7 | x2 = 0.5

158) d = 108.16 | x1 = -0.75 | x2 = 0.55

159) d = 184.96 | x1 = -0.95 | x2 = 0.75

160) d = 207.36 | x1 = -1.0 | x2 = 0.8

161) d = 1.44 | x1 = -0.15 | x2 = 0

162) d = 27.04 | x1 = -0.4 | x2 = 0.25

163) d = 46.24 | x1 = -0.5 | x2 = 0.35

164) d = 0.64 | x1 = -0.1 | x2 = 0

165) d = 23.04 | x1 = -0.35 | x2 = 0.25

166) d = 51.84 | x1 = -0.5 | x2 = 0.4

167) d = 282.24 | x1 = -1.1 | x2 = 1.0

168) d = 0.16 | x1 = -0.05 | x2 = 0

169) d = 12.96 | x1 = -0.25 | x2 = 0.2

170) d = 70.56 | x1 = -0.55 | x2 = 0.5

171) d = 134.56 | x1 = -0.75 | x2 = 0.7

172) d = 153.76 | x1 = -0.8 | x2 = 0.75

173) d = 243.36 | x1 = -1.0 | x2 = 0.95

174) d = 0 | x1 = 0 | x2 = 0

175) d = 16.0 | x1 = -0.25 | x2 = 0.25

176) d = 64 | x1 = -0.5 | x2 = 0.5

177) d = 144.0 | x1 = -0.75 | x2 = 0.75

178) d = 256 | x1 = -1.0 | x2 = 1.0

179) d = 0.16 | x1 = 0 | x2 = 0.05

180) d = 12.96 | x1 = -0.2 | x2 = 0.25

181) d = 70.56 | x1 = -0.5 | x2 = 0.55

182) d = 134.56 | x1 = -0.7 | x2 = 0.75

183) d = 153.76 | x1 = -0.75 | x2 = 0.8

184) d = 243.36 | x1 = -0.95 | x2 = 1.0

185) d = 0.64 | x1 = 0 | x2 = 0.1

186) d = 23.04 | x1 = -0.25 | x2 = 0.35

187) d = 51.84 | x1 = -0.4 | x2 = 0.5

188) d = 282.24 | x1 = -1.0 | x2 = 1.1

189) d = 1.44 | x1 = 0 | x2 = 0.15

190) d = 27.04 | x1 = -0.25 | x2 = 0.4

191) d = 46.24 | x1 = -0.35 | x2 = 0.5

192) d = 2.56 | x1 = 0 | x2 = 0.2

193) d = 92.16 | x1 = -0.5 | x2 = 0.7

194) d = 108.16 | x1 = -0.55 | x2 = 0.75

195) d = 184.96 | x1 = -0.75 | x2 = 0.95

196) d = 207.36 | x1 = -0.8 | x2 = 1.0

197) d = 4 | x1 = 0 | x2 = 0.25

198) d = 36 | x1 = -0.25 | x2 = 0.5

199) d = 100 | x1 = -0.5 | x2 = 0.75

200) d = 196 | x1 = -0.75 | x2 = 1.0

201) d = 5.76 | x1 = 0 | x2 = 0.3

202) d = 40.96 | x1 = -0.25 | x2 = 0.55

203) d = 108.16 | x1 = -0.5 | x2 = 0.8

204) d = 184.96 | x1 = -0.7 | x2 = 1.0

205) d = 207.36 | x1 = -0.75 | x2 = 1.05

206) d = 7.84 | x1 = 0 | x2 = 0.35

207) d = 46.24 | x1 = -0.25 | x2 = 0.6

208) d = 10.24 | x1 = 0 | x2 = 0.4

209) d = 51.84 | x1 = -0.25 | x2 = 0.65

210) d = 12.96 | x1 = 0 | x2 = 0.45

211) d = 134.56 | x1 = -0.5 | x2 = 0.95

212) d = 153.76 | x1 = -0.55 | x2 = 1.0

213) d = 243.36 | x1 = -0.75 | x2 = 1.2

214) d = 0.0 | x1 = 0.25 | x2 = 0.25

215) d = 16 | x1 = 0 | x2 = 0.5

216) d = 64.0 | x1 = -0.25 | x2 = 0.75

217) d = 144 | x1 = -0.5 | x2 = 1.0

218) d = 256.0 | x1 = -0.75 | x2 = 1.25

219) d = 19.36 | x1 = 0 | x2 = 0.55

220) d = 70.56 | x1 = -0.25 | x2 = 0.8

221) d = 153.76 | x1 = -0.5 | x2 = 1.05

222) d = 243.36 | x1 = -0.7 | x2 = 1.25

223) d = 23.04 | x1 = 0 | x2 = 0.6

224) d = 163.84 | x1 = -0.5 | x2 = 1.1

225) d = 282.24 | x1 = -0.75 | x2 = 1.35

226) d = 27.04 | x1 = 0 | x2 = 0.65

227) d = 295.84 | x1 = -0.75 | x2 = 1.4

228) d = 31.36 | x1 = 0 | x2 = 0.7

229) d = 92.16 | x1 = -0.25 | x2 = 0.95

230) d = 184.96 | x1 = -0.5 | x2 = 1.2

231) d = 207.36 | x1 = -0.55 | x2 = 1.25

232) d = 4 | x1 = 0.25 | x2 = 0.5

233) d = 36 | x1 = 0 | x2 = 0.75

234) d = 100 | x1 = -0.25 | x2 = 1.0

235) d = 196 | x1 = -0.5 | x2 = 1.25

236) d = 324 | x1 = -0.75 | x2 = 1.5

237) d = 40.96 | x1 = 0 | x2 = 0.8

238) d = 108.16 | x1 = -0.25 | x2 = 1.05

239) d = 207.36 | x1 = -0.5 | x2 = 1.3

240) d = 46.24 | x1 = 0 | x2 = 0.85

241) d = 219.04 | x1 = -0.5 | x2 = 1.35

242) d = 10.24 | x1 = 0.25 | x2 = 0.65

243) d = 51.84 | x1 = 0 | x2 = 0.9

244) d = 57.76 | x1 = 0 | x2 = 0.95

245) d = 134.56 | x1 = -0.25 | x2 = 1.2

246) d = 243.36 | x1 = -0.5 | x2 = 1.45

247) d = 0 | x1 = 0.5 | x2 = 0.5

248) d = 16.0 | x1 = 0.25 | x2 = 0.75

249) d = 64 | x1 = 0 | x2 = 1.0

250) d = 144.0 | x1 = -0.25 | x2 = 1.25

251) d = 256 | x1 = -0.5 | x2 = 1.5

252) d = 19.36 | x1 = 0.25 | x2 = 0.8

253) d = 70.56 | x1 = 0 | x2 = 1.05

254) d = 153.76 | x1 = -0.25 | x2 = 1.3

255) d = 77.44 | x1 = 0 | x2 = 1.1

256) d = 163.84 | x1 = -0.25 | x2 = 1.35

257) d = 282.24 | x1 = -0.5 | x2 = 1.6

258) d = 62.41 | x1 = -1.0 | x2 = 0

259) d = 0.0 | x1 = 0 | x2 = 0

260) d = 249.64 | x1 = -1.0 | x2 = 1.0

261) d = 62.41 | x1 = 0 | x2 = 1.0

262) d = 60.84 | x1 = -1.0 | x2 = 0

263) d = 15.21 | x1 = -0.5 | x2 = 0

264) d = 0.0 | x1 = 0 | x2 = 0

265) d = 243.36 | x1 = -1.0 | x2 = 1.0

266) d = 15.21 | x1 = 0 | x2 = 0.5

267) d = 60.84 | x1 = 0 | x2 = 1.0

268) d = 59.29 | x1 = -1.0 | x2 = 0

269) d = 0.0 | x1 = 0 | x2 = 0

270) d = 237.16 | x1 = -1.0 | x2 = 1.0

271) d = 59.29 | x1 = 0 | x2 = 1.0

272) d = 0.0 | x1 = -0.5 | x2 = -0.5

273) d = 57.76 | x1 = -1.0 | x2 = 0

274) d = 90.25 | x1 = -1.0 | x2 = 0.25

275) d = 14.44 | x1 = -0.5 | x2 = 0

276) d = 3.61 | x1 = -0.25 | x2 = 0

277) d = 0.0 | x1 = 0 | x2 = 0

278) d = 57.76 | x1 = -0.5 | x2 = 0.5

279) d = 231.04 | x1 = -1.0 | x2 = 1.0

280) d = 3.61 | x1 = 0 | x2 = 0.25

281) d = 14.44 | x1 = 0 | x2 = 0.5

282) d = 90.25 | x1 = -0.25 | x2 = 1.0

283) d = 0.0 | x1 = 0.5 | x2 = 0.5

284) d = 57.76 | x1 = 0 | x2 = 1.0

285) d = 0.0 | x1 = -0.6 | x2 = -0.6

286) d = 9.0 | x1 = -0.8 | x2 = -0.4

287) d = 36.0 | x1 = -1.0 | x2 = -0.2

288) d = 81.0 | x1 = -1.2 | x2 = 0

289) d = 144.0 | x1 = -1.4 | x2 = 0.2

290) d = 225.0 | x1 = -1.6 | x2 = 0.4

291) d = 324.0 | x1 = -1.8 | x2 = 0.6

292) d = 75.69 | x1 = -1.16 | x2 = 0

293) d = 70.56 | x1 = -1.12 | x2 = 0

294) d = 60.84 | x1 = -1.04 | x2 = 0

295) d = 2.25 | x1 = -0.6 | x2 = -0.4

296) d = 20.25 | x1 = -0.8 | x2 = -0.2

297) d = 56.25 | x1 = -1.0 | x2 = 0

298) d = 110.25 | x1 = -1.2 | x2 = 0.2

299) d = 182.25 | x1 = -1.4 | x2 = 0.4

300) d = 272.25 | x1 = -1.6 | x2 = 0.6

301) d = 47.61 | x1 = -0.92 | x2 = 0

302) d = 43.56 | x1 = -0.88 | x2 = 0

303) d = 39.69 | x1 = -0.84 | x2 = 0

304) d = 0.0 | x1 = -0.4 | x2 = -0.4

305) d = 9.0 | x1 = -0.6 | x2 = -0.2

306) d = 36.0 | x1 = -0.8 | x2 = 0

307) d = 81.0 | x1 = -1.0 | x2 = 0.2

308) d = 144.0 | x1 = -1.2 | x2 = 0.4

309) d = 225.0 | x1 = -1.4 | x2 = 0.6

310) d = 32.49 | x1 = -0.76 | x2 = 0

311) d = 23.04 | x1 = -0.64 | x2 = 0

312) d = 104.04 | x1 = -1.0 | x2 = 0.36

313) d = 2.25 | x1 = -0.4 | x2 = -0.2

314) d = 20.25 | x1 = -0.6 | x2 = 0

315) d = 56.25 | x1 = -0.8 | x2 = 0.2

316) d = 110.25 | x1 = -1.0 | x2 = 0.4

317) d = 182.25 | x1 = -1.2 | x2 = 0.6

318) d = 272.25 | x1 = -1.4 | x2 = 0.8

319) d = 17.64 | x1 = -0.56 | x2 = 0

320) d = 15.21 | x1 = -0.52 | x2 = 0

321) d = 129.96 | x1 = -1.0 | x2 = 0.52

322) d = 10.89 | x1 = -0.44 | x2 = 0

323) d = 0.0 | x1 = -0.2 | x2 = -0.2

324) d = 9.0 | x1 = -0.4 | x2 = 0

325) d = 36.0 | x1 = -0.6 | x2 = 0.2

326) d = 81.0 | x1 = -0.8 | x2 = 0.4

327) d = 144.0 | x1 = -1.0 | x2 = 0.6

328) d = 225.0 | x1 = -1.2 | x2 = 0.8

329) d = 5.76 | x1 = -0.32 | x2 = 0

330) d = 4.41 | x1 = -0.28 | x2 = 0

331) d = 2.25 | x1 = -0.2 | x2 = 0

332) d = 20.25 | x1 = -0.4 | x2 = 0.2

333) d = 56.25 | x1 = -0.6 | x2 = 0.4

334) d = 110.25 | x1 = -0.8 | x2 = 0.6

335) d = 182.25 | x1 = -1.0 | x2 = 0.8

336) d = 272.25 | x1 = -1.2 | x2 = 1.0

337) d = 1.44 | x1 = -0.16 | x2 = 0

338) d = 262.44 | x1 = -1.16 | x2 = 1.0

339) d = 198.81 | x1 = -1.0 | x2 = 0.88

340) d = 252.81 | x1 = -1.12 | x2 = 1.0

341) d = 0.36 | x1 = -0.08 | x2 = 0

342) d = 207.36 | x1 = -1.0 | x2 = 0.92

343) d = 0.09 | x1 = -0.04 | x2 = 0

344) d = 234.09 | x1 = -1.04 | x2 = 1.0

345) d = 0.0 | x1 = 0 | x2 = 0

346) d = 9.0 | x1 = -0.2 | x2 = 0.2

347) d = 36.0 | x1 = -0.4 | x2 = 0.4

348) d = 81.0 | x1 = -0.6 | x2 = 0.6

349) d = 144.0 | x1 = -0.8 | x2 = 0.8

350) d = 225.0 | x1 = -1.0 | x2 = 1.0

351) d = 0.09 | x1 = 0 | x2 = 0.04

352) d = 234.09 | x1 = -1.0 | x2 = 1.04

353) d = 0.36 | x1 = 0 | x2 = 0.08

354) d = 207.36 | x1 = -0.92 | x2 = 1.0

355) d = 198.81 | x1 = -0.88 | x2 = 1.0

356) d = 252.81 | x1 = -1.0 | x2 = 1.12

357) d = 1.44 | x1 = 0 | x2 = 0.16

358) d = 262.44 | x1 = -1.0 | x2 = 1.16

359) d = 2.25 | x1 = 0 | x2 = 0.2

360) d = 20.25 | x1 = -0.2 | x2 = 0.4

361) d = 56.25 | x1 = -0.4 | x2 = 0.6

362) d = 110.25 | x1 = -0.6 | x2 = 0.8

363) d = 182.25 | x1 = -0.8 | x2 = 1.0

364) d = 272.25 | x1 = -1.0 | x2 = 1.2

365) d = 4.41 | x1 = 0 | x2 = 0.28

366) d = 5.76 | x1 = 0 | x2 = 0.32

367) d = 0.0 | x1 = 0.2 | x2 = 0.2

368) d = 9.0 | x1 = 0 | x2 = 0.4

369) d = 36.0 | x1 = -0.2 | x2 = 0.6

370) d = 81.0 | x1 = -0.4 | x2 = 0.8

371) d = 144.0 | x1 = -0.6 | x2 = 1.0

372) d = 225.0 | x1 = -0.8 | x2 = 1.2

373) d = 10.89 | x1 = 0 | x2 = 0.44

374) d = 129.96 | x1 = -0.52 | x2 = 1.0

375) d = 15.21 | x1 = 0 | x2 = 0.52

376) d = 17.64 | x1 = 0 | x2 = 0.56

377) d = 2.25 | x1 = 0.2 | x2 = 0.4

378) d = 20.25 | x1 = 0 | x2 = 0.6

379) d = 56.25 | x1 = -0.2 | x2 = 0.8

380) d = 110.25 | x1 = -0.4 | x2 = 1.0

381) d = 182.25 | x1 = -0.6 | x2 = 1.2

382) d = 272.25 | x1 = -0.8 | x2 = 1.4

383) d = 23.04 | x1 = 0 | x2 = 0.64

384) d = 104.04 | x1 = -0.36 | x2 = 1.0

385) d = 32.49 | x1 = 0 | x2 = 0.76

386) d = 0.0 | x1 = 0.4 | x2 = 0.4

387) d = 9.0 | x1 = 0.2 | x2 = 0.6

388) d = 36.0 | x1 = 0 | x2 = 0.8

389) d = 81.0 | x1 = -0.2 | x2 = 1.0

390) d = 144.0 | x1 = -0.4 | x2 = 1.2

391) d = 225.0 | x1 = -0.6 | x2 = 1.4

392) d = 39.69 | x1 = 0 | x2 = 0.84

393) d = 43.56 | x1 = 0 | x2 = 0.88

394) d = 47.61 | x1 = 0 | x2 = 0.92

395) d = 2.25 | x1 = 0.4 | x2 = 0.6

396) d = 20.25 | x1 = 0.2 | x2 = 0.8

397) d = 56.25 | x1 = 0 | x2 = 1.0

398) d = 110.25 | x1 = -0.2 | x2 = 1.2

399) d = 182.25 | x1 = -0.4 | x2 = 1.4

400) d = 272.25 | x1 = -0.6 | x2 = 1.6

401) d = 60.84 | x1 = 0 | x2 = 1.04

402) d = 70.56 | x1 = 0 | x2 = 1.12

403) d = 75.69 | x1 = 0 | x2 = 1.16

404) d = 0.0 | x1 = 0.6 | x2 = 0.6

405) d = 9.0 | x1 = 0.4 | x2 = 0.8

406) d = 36.0 | x1 = 0.2 | x2 = 1.0

407) d = 81.0 | x1 = 0 | x2 = 1.2

408) d = 144.0 | x1 = -0.2 | x2 = 1.4

409) d = 225.0 | x1 = -0.4 | x2 = 1.6

410) d = 324.0 | x1 = -0.6 | x2 = 1.8

411) d = 54.76 | x1 = -1.0 | x2 = 0

412) d = 13.69 | x1 = -0.5 | x2 = 0

413) d = 0.0 | x1 = 0 | x2 = 0

414) d = 219.04 | x1 = -1.0 | x2 = 1.0

415) d = 13.69 | x1 = 0 | x2 = 0.5

416) d = 54.76 | x1 = 0 | x2 = 1.0

417) d = 53.29 | x1 = -1.0 | x2 = 0

418) d = 0.0 | x1 = 0 | x2 = 0

419) d = 213.16 | x1 = -1.0 | x2 = 1.0

420) d = 53.29 | x1 = 0 | x2 = 1.0

421) d = 81.0 | x1 = -1.25 | x2 = 0

422) d = 0.0 | x1 = -0.5 | x2 = -0.5

423) d = 51.84 | x1 = -1.0 | x2 = 0

424) d = 207.36 | x1 = -1.5 | x2 = 0.5

425) d = 29.16 | x1 = -0.75 | x2 = 0

426) d = 12.96 | x1 = -0.5 | x2 = 0

427) d = 3.24 | x1 = -0.25 | x2 = 0

428) d = 81.0 | x1 = -0.75 | x2 = 0.5

429) d = 0.0 | x1 = 0 | x2 = 0

430) d = 51.84 | x1 = -0.5 | x2 = 0.5

431) d = 207.36 | x1 = -1.0 | x2 = 1.0

432) d = 3.24 | x1 = 0 | x2 = 0.25

433) d = 81.0 | x1 = -0.5 | x2 = 0.75

434) d = 12.96 | x1 = 0 | x2 = 0.5

435) d = 29.16 | x1 = 0 | x2 = 0.75

436) d = 0.0 | x1 = 0.5 | x2 = 0.5

437) d = 51.84 | x1 = 0 | x2 = 1.0

438) d = 207.36 | x1 = -0.5 | x2 = 1.5

439) d = 81.0 | x1 = 0 | x2 = 1.25

440) d = 50.41 | x1 = -1.0 | x2 = 0

441) d = 0.0 | x1 = 0 | x2 = 0

442) d = 201.64 | x1 = -1.0 | x2 = 1.0

443) d = 50.41 | x1 = 0 | x2 = 1.0

444) d = 70.56 | x1 = -1.2 | x2 = 0

445) d = 59.29 | x1 = -1.1 | x2 = 0

446) d = 176.89 | x1 = -1.5 | x2 = 0.4

447) d = 49 | x1 = -1.0 | x2 = 0

448) d = 39.69 | x1 = -0.9 | x2 = 0

449) d = 141.61 | x1 = -1.2 | x2 = 0.5

450) d = 259.21 | x1 = -1.5 | x2 = 0.8

451) d = 17.64 | x1 = -0.6 | x2 = 0

452) d = 12.25 | x1 = -0.5 | x2 = 0

453) d = 110.25 | x1 = -1.0 | x2 = 0.5

454) d = 4.41 | x1 = -0.3 | x2 = 0

455) d = 237.16 | x1 = -1.2 | x2 = 1.0

456) d = 59.29 | x1 = -0.6 | x2 = 0.5

457) d = 0 | x1 = 0 | x2 = 0

458) d = 196 | x1 = -1.0 | x2 = 1.0

459) d = 59.29 | x1 = -0.5 | x2 = 0.6

460) d = 237.16 | x1 = -1.0 | x2 = 1.2

461) d = 4.41 | x1 = 0 | x2 = 0.3

462) d = 12.25 | x1 = 0 | x2 = 0.5

463) d = 110.25 | x1 = -0.5 | x2 = 1.0

464) d = 17.64 | x1 = 0 | x2 = 0.6

465) d = 141.61 | x1 = -0.5 | x2 = 1.2

466) d = 259.21 | x1 = -0.8 | x2 = 1.5

467) d = 39.69 | x1 = 0 | x2 = 0.9

468) d = 49 | x1 = 0 | x2 = 1.0

469) d = 59.29 | x1 = 0 | x2 = 1.1

470) d = 176.89 | x1 = -0.4 | x2 = 1.5

471) d = 70.56 | x1 = 0 | x2 = 1.2

472) d = 47.61 | x1 = -1.0 | x2 = 0

473) d = 0.0 | x1 = 0 | x2 = 0

474) d = 190.44 | x1 = -1.0 | x2 = 1.0

475) d = 47.61 | x1 = 0 | x2 = 1.0

476) d = 72.25 | x1 = -1.25 | x2 = 0

477) d = 0.0 | x1 = -0.5 | x2 = -0.5

478) d = 46.24 | x1 = -1.0 | x2 = 0

479) d = 184.96 | x1 = -1.5 | x2 = 0.5

480) d = 26.01 | x1 = -0.75 | x2 = 0

481) d = 11.56 | x1 = -0.5 | x2 = 0

482) d = 2.89 | x1 = -0.25 | x2 = 0

483) d = 0.0 | x1 = 0 | x2 = 0

484) d = 46.24 | x1 = -0.5 | x2 = 0.5

