1) d = 81 | x1 = -1.0 | x2 = 0
244) d = 9 | x1 = 0.5 | x2 = 2.0

245) d = 25 | x1 = 0 | x2 = 2.5

246) d = 49 | x1 = -0.5 | x2 = 3.0

247) d = 81 | x1 = -1.0 | x2 = 3.5

248) d = 4 | x1 = 1.0 | x2 = 2.0

249) d = 36 | x1 = 0 | x2 = 3.0

250) d = 100 | x1 = -1.0 | x2 = 4.0

251) d = 1 | x1 = 1.5 | x2 = 2.0

252) d = 9 | x1 = 1.0 | x2 = 2.5

253) d = 25 | x1 = 0.5 | x2 = 3.0

254) d = 49 | x1 = 0 | x2 = 3.5

255) d = 81 | x1 = -0.5 | x2 = 4.0

256) d = 121 | x1 = -1.0 | x2 = 4.5

257) d = 0 | x1 = 2.0 | x2 = 2.0

258) d = 16 | x1 = 1.0 | x2 = 3.0

259) d = 64 | x1 = 0 | x2 = 4.0

260) d = 9 | x1 = 1.5 | x2 = 3.0

261) d = 25 | x1 = 1.0 | x2 = 3.5

262) d = 49 | x1 = 0.5 | x2 = 4.0

263) d = 81 | x1 = 0 | x2 = 4.5

264) d = 121 | x1 = -0.5 | x2 = 5.0

265) d = 49 | x1 = -8.0 | x2 = -1.0

266) d = 81 | x1 = -9.0 | x2 = 0

267) d = 36 | x1 = -7.0 | x2 = -1.0

268) d = 64 | x1 = -8.0 | x2 = 0

269) d = 100 | x1 = -9.0 | x2 = 1.0

270) d = 25 | x1 = -6.0 | x2 = -1.0

271) d = 49 | x1 = -7.0 | x2 = 0

272) d = 81 | x1 = -8.0 | x2 = 1.0

273) d = 0 | x1 = -3.0 | x2 = -3.0

274) d = 4 | x1 = -4.0 | x2 = -2.0

275) d = 16 | x1 = -5.0 | x2 = -1.0

276) d = 36 | x1 = -6.0 | x2 = 0

277) d = 64 | x1 = -7.0 | x2 = 1.0

278) d = 1 | x1 = -3.0 | x2 = -2.0

279) d = 9 | x1 = -4.0 | x2 = -1.0

280) d = 25 | x1 = -5.0 | x2 = 0

281) d = 49 | x1 = -6.0 | x2 = 1.0

282) d = 0 | x1 = -2.0 | x2 = -2.0

283) d = 4 | x1 = -3.0 | x2 = -1.0

284) d = 16 | x1 = -4.0 | x2 = 0

285) d = 36 | x1 = -5.0 | x2 = 1.0

286) d = 1 | x1 = -2.0 | x2 = -1.0

287) d = 9 | x1 = -3.0 | x2 = 0

288) d = 25 | x1 = -4.0 | x2 = 1.0

289) d = 0 | x1 = -1.0 | x2 = -1.0

290) d = 4 | x1 = -2.0 | x2 = 0

291) d = 16 | x1 = -3.0 | x2 = 1.0

292) d = 36 | x1 = -4.0 | x2 = 2.0

293) d = 1 | x1 = -1.0 | x2 = 0

294) d = 9 | x1 = -2.0 | x2 = 1.0

295) d = 25 | x1 = -3.0 | x2 = 2.0

296) d = 0 | x1 = 0 | x2 = 0

297) d = 4 | x1 = -1.0 | x2 = 1.0

298) d = 16 | x1 = -2.0 | x2 = 2.0

299) d = 36 | x1 = -3.0 | x2 = 3.0

300) d = 1 | x1 = 0 | x2 = 1.0

301) d = 9 | x1 = -1.0 | x2 = 2.0

302) d = 25 | x1 = -2.0 | x2 = 3.0

303) d = 0 | x1 = 1.0 | x2 = 1.0

304) d = 4 | x1 = 0 | x2 = 2.0

305) d = 16 | x1 = -1.0 | x2 = 3.0

306) d = 36 | x1 = -2.0 | x2 = 4.0

307) d = 1 | x1 = 1.0 | x2 = 2.0

308) d = 9 | x1 = 0 | x2 = 3.0

309) d = 25 | x1 = -1.0 | x2 = 4.0

310) d = 0 | x1 = 2.0 | x2 = 2.0

311) d = 4 | x1 = 1.0 | x2 = 3.0

312) d = 16 | x1 = 0 | x2 = 4.0

313) d = 36 | x1 = -1.0 | x2 = 5.0

314) d = 1 | x1 = 2.0 | x2 = 3.0

315) d = 9 | x1 = 1.0 | x2 = 4.0

316) d = 25 | x1 = 0 | x2 = 5.0

317) d = 49 | x1 = -1.0 | x2 = 6.0

318) d = 0 | x1 = 3.0 | x2 = 3.0

319) d = 4 | x1 = 2.0 | x2 = 4.0

320) d = 16 | x1 = 1.0 | x2 = 5.0

321) d = 36 | x1 = 0 | x2 = 6.0

322) d = 64 | x1 = -1.0 | x2 = 7.0

323) d = 25 | x1 = 1.0 | x2 = 6.0

324) d = 49 | x1 = 0 | x2 = 7.0

325) d = 81 | x1 = -1.0 | x2 = 8.0

326) d = 36 | x1 = 1.0 | x2 = 7.0

327) d = 64 | x1 = 0 | x2 = 8.0

328) d = 100 | x1 = -1.0 | x2 = 9.0

329) d = 49 | x1 = 1.0 | x2 = 8.0

330) d = 81 | x1 = 0 | x2 = 9.0

331) d = 81 | x1 = 0 | x2 = 0

332) d = 81 | x1 = 0 | x2 = 0

333) d = 81 | x1 = 0 | x2 = 0

334) d = 81 | x1 = 0 | x2 = 0

335) d = 81 | x1 = 0 | x2 = 0

336) d = 81 | x1 = 0 | x2 = 0

337) d = 81 | x1 = 0 | x2 = 0

338) d = 81 | x1 = 0 | x2 = 0

339) d = 81 | x1 = 0 | x2 = 0

340) d = 81 | x1 = 0 | x2 = 0

341) d = 81 | x1 = 0 | x2 = 0

342) d = 81 | x1 = 0 | x2 = 0

343) d = 81 | x1 = 0 | x2 = 0

344) d = 81 | x1 = 0 | x2 = 0

345) d = 81 | x1 = 0 | x2 = 0

346) d = 81 | x1 = 0 | x2 = 0

347) d = 81 | x1 = 0 | x2 = 0

348) d = 81 | x1 = 0 | x2 = 0

349) d = 81 | x1 = 0 | x2 = 0

350) d = 64 | x1 = 0 | x2 = 0

351) d = 64 | x1 = 0 | x2 = 0

352) d = 64 | x1 = 0 | x2 = 0

353) d = 64 | x1 = 0 | x2 = 0

354) d = 64 | x1 = 0 | x2 = 0

355) d = 64 | x1 = 0 | x2 = 0

356) d = 64 | x1 = 0 | x2 = 0

357) d = 64 | x1 = 0 | x2 = 0

358) d = 64 | x1 = 0 | x2 = 0

359) d = 64 | x1 = 0 | x2 = 0

360) d = 64 | x1 = 0 | x2 = 0

361) d = 64 | x1 = 0 | x2 = 0

362) d = 64 | x1 = 0 | x2 = 0

363) d = 64 | x1 = 0 | x2 = 0

364) d = 64 | x1 = 0 | x2 = 0

365) d = 64 | x1 = 0 | x2 = 0

366) d = 64 | x1 = 0 | x2 = 0

367) d = 64 | x1 = 0 | x2 = 0

368) d = 64 | x1 = 0 | x2 = 0

369) d = 49 | x1 = 0 | x2 = 0

370) d = 49 | x1 = 0 | x2 = 0

371) d = 49 | x1 = 0 | x2 = 0

372) d = 49 | x1 = 0 | x2 = 0

373) d = 49 | x1 = 0 | x2 = 0

374) d = 49 | x1 = 0 | x2 = 0

375) d = 49 | x1 = 0 | x2 = 0

376) d = 49 | x1 = 0 | x2 = 0

377) d = 49 | x1 = 0 | x2 = 0

378) d = 49 | x1 = 0 | x2 = 0

379) d = 49 | x1 = 0 | x2 = 0

380) d = 49 | x1 = 0 | x2 = 0

381) d = 49 | x1 = 0 | x2 = 0

382) d = 49 | x1 = 0 | x2 = 0

383) d = 49 | x1 = 0 | x2 = 0

384) d = 49 | x1 = 0 | x2 = 0

385) d = 49 | x1 = 0 | x2 = 0

386) d = 49 | x1 = 0 | x2 = 0

387) d = 49 | x1 = 0 | x2 = 0

388) d = 36 | x1 = 0 | x2 = 0

389) d = 36 | x1 = 0 | x2 = 0

390) d = 36 | x1 = 0 | x2 = 0

391) d = 36 | x1 = 0 | x2 = 0

392) d = 36 | x1 = 0 | x2 = 0

393) d = 36 | x1 = 0 | x2 = 0

394) d = 36 | x1 = 0 | x2 = 0

395) d = 36 | x1 = 0 | x2 = 0

396) d = 36 | x1 = 0 | x2 = 0

397) d = 36 | x1 = 0 | x2 = 0

398) d = 36 | x1 = 0 | x2 = 0

399) d = 36 | x1 = 0 | x2 = 0

400) d = 36 | x1 = 0 | x2 = 0

401) d = 36 | x1 = 0 | x2 = 0

402) d = 36 | x1 = 0 | x2 = 0

403) d = 36 | x1 = 0 | x2 = 0

404) d = 36 | x1 = 0 | x2 = 0

405) d = 36 | x1 = 0 | x2 = 0

406) d = 36 | x1 = 0 | x2 = 0

407) d = 25 | x1 = 0 | x2 = 0

408) d = 25 | x1 = 0 | x2 = 0

409) d = 25 | x1 = 0 | x2 = 0

410) d = 25 | x1 = 0 | x2 = 0

411) d = 25 | x1 = 0 | x2 = 0

412) d = 25 | x1 = 0 | x2 = 0

413) d = 25 | x1 = 0 | x2 = 0

414) d = 25 | x1 = 0 | x2 = 0

415) d = 25 | x1 = 0 | x2 = 0

416) d = 25 | x1 = 0 | x2 = 0

417) d = 25 | x1 = 0 | x2 = 0

418) d = 25 | x1 = 0 | x2 = 0

419) d = 25 | x1 = 0 | x2 = 0

420) d = 25 | x1 = 0 | x2 = 0

421) d = 25 | x1 = 0 | x2 = 0

422) d = 25 | x1 = 0 | x2 = 0

423) d = 25 | x1 = 0 | x2 = 0

424) d = 25 | x1 = 0 | x2 = 0

425) d = 25 | x1 = 0 | x2 = 0

426) d = 16 | x1 = 0 | x2 = 0

427) d = 16 | x1 = 0 | x2 = 0

428) d = 16 | x1 = 0 | x2 = 0

429) d = 16 | x1 = 0 | x2 = 0

430) d = 16 | x1 = 0 | x2 = 0

431) d = 16 | x1 = 0 | x2 = 0

432) d = 16 | x1 = 0 | x2 = 0

433) d = 16 | x1 = 0 | x2 = 0

434) d = 16 | x1 = 0 | x2 = 0

435) d = 16 | x1 = 0 | x2 = 0

436) d = 16 | x1 = 0 | x2 = 0

437) d = 16 | x1 = 0 | x2 = 0

438) d = 16 | x1 = 0 | x2 = 0

439) d = 16 | x1 = 0 | x2 = 0

440) d = 16 | x1 = 0 | x2 = 0

441) d = 16 | x1 = 0 | x2 = 0

442) d = 16 | x1 = 0 | x2 = 0

443) d = 16 | x1 = 0 | x2 = 0

444) d = 16 | x1 = 0 | x2 = 0

445) d = 9 | x1 = 0 | x2 = 0

446) d = 9 | x1 = 0 | x2 = 0

447) d = 9 | x1 = 0 | x2 = 0

448) d = 9 | x1 = 0 | x2 = 0

449) d = 9 | x1 = 0 | x2 = 0

450) d = 9 | x1 = 0 | x2 = 0

451) d = 9 | x1 = 0 | x2 = 0

452) d = 9 | x1 = 0 | x2 = 0

453) d = 9 | x1 = 0 | x2 = 0

454) d = 9 | x1 = 0 | x2 = 0

455) d = 9 | x1 = 0 | x2 = 0

456) d = 9 | x1 = 0 | x2 = 0

457) d = 9 | x1 = 0 | x2 = 0

458) d = 9 | x1 = 0 | x2 = 0

459) d = 9 | x1 = 0 | x2 = 0

460) d = 9 | x1 = 0 | x2 = 0

461) d = 9 | x1 = 0 | x2 = 0

462) d = 9 | x1 = 0 | x2 = 0

463) d = 9 | x1 = 0 | x2 = 0

464) d = 4 | x1 = 0 | x2 = 0

465) d = 4 | x1 = 0 | x2 = 0

466) d = 4 | x1 = 0 | x2 = 0

467) d = 4 | x1 = 0 | x2 = 0

468) d = 4 | x1 = 0 | x2 = 0

469) d = 4 | x1 = 0 | x2 = 0

470) d = 4 | x1 = 0 | x2 = 0

471) d = 4 | x1 = 0 | x2 = 0

472) d = 4 | x1 = 0 | x2 = 0

473) d = 4 | x1 = 0 | x2 = 0

474) d = 4 | x1 = 0 | x2 = 0

475) d = 4 | x1 = 0 | x2 = 0

476) d = 4 | x1 = 0 | x2 = 0

477) d = 4 | x1 = 0 | x2 = 0

478) d = 4 | x1 = 0 | x2 = 0

479) d = 4 | x1 = 0 | x2 = 0

480) d = 4 | x1 = 0 | x2 = 0

481) d = 4 | x1 = 0 | x2 = 0

482) d = 4 | x1 = 0 | x2 = 0

483) d = 1 | x1 = 0 | x2 = 0

484) d = 1 | x1 = 0 | x2 = 0

485) d = 1 | x1 = 0 | x2 = 0

486) d = 1 | x1 = 0 | x2 = 0

487) d = 1 | x1 = 0 | x2 = 0

488) d = 1 | x1 = 0 | x2 = 0

489) d = 1 | x1 = 0 | x2 = 0

490) d = 1 | x1 = 0 | x2 = 0

491) d = 1 | x1 = 0 | x2 = 0

492) d = 1 | x1 = 0 | x2 = 0

493) d = 1 | x1 = 0 | x2 = 0

494) d = 1 | x1 = 0 | x2 = 0

495) d = 1 | x1 = 0 | x2 = 0

496) d = 1 | x1 = 0 | x2 = 0

497) d = 1 | x1 = 0 | x2 = 0

498) d = 1 | x1 = 0 | x2 = 0

499) d = 1 | x1 = 0 | x2 = 0

500) d = 1 | x1 = 0 | x2 = 0

501) d = 1 | x1 = 0 | x2 = 0

502) d = 0 | x1 = 0 | x2 = 0

503) d = 0 | x1 = 0 | x2 = 0

504) d = 0 | x1 = 0 | x2 = 0

505) d = 0 | x1 = 0 | x2 = 0

506) d = 0 | x1 = 0 | x2 = 0

507) d = 0 | x1 = 0 | x2 = 0

508) d = 0 | x1 = 0 | x2 = 0

509) d = 0 | x1 = 0 | x2 = 0

510) d = 0 | x1 = 0 | x2 = 0

511) d = 0 | x1 = 0 | x2 = 0

512) d = 0 | x1 = 0 | x2 = 0

513) d = 0 | x1 = 0 | x2 = 0

514) d = 0 | x1 = 0 | x2 = 0

515) d = 0 | x1 = 0 | x2 = 0

516) d = 0 | x1 = 0 | x2 = 0

517) d = 0 | x1 = 0 | x2 = 0

518) d = 0 | x1 = 0 | x2 = 0

519) d = 0 | x1 = 0 | x2 = 0

520) d = 0 | x1 = 0 | x2 = 0

521) d = 1 | x1 = 0 | x2 = 0

522) d = 1 | x1 = 0 | x2 = 0

523) d = 1 | x1 = 0 | x2 = 0

524) d = 1 | x1 = 0 | x2 = 0

525) d = 1 | x1 = 0 | x2 = 0

526) d = 1 | x1 = 0 | x2 = 0

527) d = 1 | x1 = 0 | x2 = 0

528) d = 1 | x1 = 0 | x2 = 0

529) d = 1 | x1 = 0 | x2 = 0

530) d = 1 | x1 = 0 | x2 = 0

531) d = 1 | x1 = 0 | x2 = 0

532) d = 1 | x1 = 0 | x2 = 0

533) d = 1 | x1 = 0 | x2 = 0

534) d = 1 | x1 = 0 | x2 = 0

535) d = 1 | x1 = 0 | x2 = 0

536) d = 1 | x1 = 0 | x2 = 0

