1) a = -9 | b = -9 | c = 0
389) a = 0 | b = -6 | c = -8

390) a = 0 | b = -6 | c = -7

391) a = 0 | b = -6 | c = -6

392) a = 0 | b = -6 | c = -5

393) a = 0 | b = -6 | c = -4

394) a = 0 | b = -6 | c = -3

395) a = 0 | b = -6 | c = -2

396) a = 0 | b = -6 | c = -1

397) a = 0 | b = -6 | c = 0

398) a = 0 | b = -6 | c = 1

399) a = 0 | b = -6 | c = 2

400) a = 0 | b = -6 | c = 3

401) a = 0 | b = -6 | c = 4

402) a = 0 | b = -6 | c = 5

403) a = 0 | b = -6 | c = 6

404) a = 0 | b = -6 | c = 7

405) a = 0 | b = -6 | c = 8

406) a = 0 | b = -6 | c = 9

407) a = 0 | b = -5 | c = -9

408) a = 0 | b = -5 | c = -8

409) a = 0 | b = -5 | c = -7

410) a = 0 | b = -5 | c = -6

411) a = 0 | b = -5 | c = -5

412) a = 0 | b = -5 | c = -4

413) a = 0 | b = -5 | c = -3

414) a = 0 | b = -5 | c = -2

415) a = 0 | b = -5 | c = -1

416) a = 0 | b = -5 | c = 0

417) a = 0 | b = -5 | c = 1

418) a = 0 | b = -5 | c = 2

419) a = 0 | b = -5 | c = 3

420) a = 0 | b = -5 | c = 4

421) a = 0 | b = -5 | c = 5

422) a = 0 | b = -5 | c = 6

423) a = 0 | b = -5 | c = 7

424) a = 0 | b = -5 | c = 8

425) a = 0 | b = -5 | c = 9

426) a = 0 | b = -4 | c = -9

427) a = 0 | b = -4 | c = -8

428) a = 0 | b = -4 | c = -7

429) a = 0 | b = -4 | c = -6

430) a = 0 | b = -4 | c = -5

431) a = 0 | b = -4 | c = -4

432) a = 0 | b = -4 | c = -3

433) a = 0 | b = -4 | c = -2

434) a = 0 | b = -4 | c = -1

435) a = 0 | b = -4 | c = 0

436) a = 0 | b = -4 | c = 1

437) a = 0 | b = -4 | c = 2

438) a = 0 | b = -4 | c = 3

439) a = 0 | b = -4 | c = 4

440) a = 0 | b = -4 | c = 5

441) a = 0 | b = -4 | c = 6

442) a = 0 | b = -4 | c = 7

443) a = 0 | b = -4 | c = 8

444) a = 0 | b = -4 | c = 9

445) a = 0 | b = -3 | c = -9

446) a = 0 | b = -3 | c = -8

447) a = 0 | b = -3 | c = -7

448) a = 0 | b = -3 | c = -6

449) a = 0 | b = -3 | c = -5

450) a = 0 | b = -3 | c = -4

451) a = 0 | b = -3 | c = -3

452) a = 0 | b = -3 | c = -2

453) a = 0 | b = -3 | c = -1

454) a = 0 | b = -3 | c = 0

455) a = 0 | b = -3 | c = 1

456) a = 0 | b = -3 | c = 2

457) a = 0 | b = -3 | c = 3

458) a = 0 | b = -3 | c = 4

459) a = 0 | b = -3 | c = 5

460) a = 0 | b = -3 | c = 6

461) a = 0 | b = -3 | c = 7

462) a = 0 | b = -3 | c = 8

463) a = 0 | b = -3 | c = 9

464) a = 0 | b = -2 | c = -9

465) a = 0 | b = -2 | c = -8

466) a = 0 | b = -2 | c = -7

467) a = 0 | b = -2 | c = -6

468) a = 0 | b = -2 | c = -5

469) a = 0 | b = -2 | c = -4

470) a = 0 | b = -2 | c = -3

471) a = 0 | b = -2 | c = -2

472) a = 0 | b = -2 | c = -1

473) a = 0 | b = -2 | c = 0

474) a = 0 | b = -2 | c = 1

475) a = 0 | b = -2 | c = 2

476) a = 0 | b = -2 | c = 3

477) a = 0 | b = -2 | c = 4

478) a = 0 | b = -2 | c = 5

479) a = 0 | b = -2 | c = 6

480) a = 0 | b = -2 | c = 7

481) a = 0 | b = -2 | c = 8

482) a = 0 | b = -2 | c = 9

483) a = 0 | b = -1 | c = -9

484) a = 0 | b = -1 | c = -8

485) a = 0 | b = -1 | c = -7

486) a = 0 | b = -1 | c = -6

487) a = 0 | b = -1 | c = -5

488) a = 0 | b = -1 | c = -4

489) a = 0 | b = -1 | c = -3

490) a = 0 | b = -1 | c = -2

491) a = 0 | b = -1 | c = -1

492) a = 0 | b = -1 | c = 0

493) a = 0 | b = -1 | c = 1

494) a = 0 | b = -1 | c = 2

495) a = 0 | b = -1 | c = 3

496) a = 0 | b = -1 | c = 4

497) a = 0 | b = -1 | c = 5

498) a = 0 | b = -1 | c = 6

499) a = 0 | b = -1 | c = 7

500) a = 0 | b = -1 | c = 8

501) a = 0 | b = -1 | c = 9

502) a = 0 | b = 0 | c = -9

503) a = 0 | b = 0 | c = -8

504) a = 0 | b = 0 | c = -7

505) a = 0 | b = 0 | c = -6

506) a = 0 | b = 0 | c = -5

507) a = 0 | b = 0 | c = -4

508) a = 0 | b = 0 | c = -3

509) a = 0 | b = 0 | c = -2

510) a = 0 | b = 0 | c = -1

511) a = 0 | b = 0 | c = 0

512) a = 0 | b = 0 | c = 1

513) a = 0 | b = 0 | c = 2

514) a = 0 | b = 0 | c = 3

515) a = 0 | b = 0 | c = 4

516) a = 0 | b = 0 | c = 5

517) a = 0 | b = 0 | c = 6

518) a = 0 | b = 0 | c = 7

519) a = 0 | b = 0 | c = 8

520) a = 0 | b = 0 | c = 9

521) a = 0 | b = 1 | c = -9

522) a = 0 | b = 1 | c = -8

523) a = 0 | b = 1 | c = -7

524) a = 0 | b = 1 | c = -6

525) a = 0 | b = 1 | c = -5

526) a = 0 | b = 1 | c = -4

527) a = 0 | b = 1 | c = -3

528) a = 0 | b = 1 | c = -2

529) a = 0 | b = 1 | c = -1

530) a = 0 | b = 1 | c = 0

531) a = 0 | b = 1 | c = 1

532) a = 0 | b = 1 | c = 2

533) a = 0 | b = 1 | c = 3

534) a = 0 | b = 1 | c = 4

535) a = 0 | b = 1 | c = 5

536) a = 0 | b = 1 | c = 6

537) a = 0 | b = 1 | c = 7

538) a = 0 | b = 1 | c = 8

539) a = 0 | b = 1 | c = 9

540) a = 0 | b = 2 | c = -9

541) a = 0 | b = 2 | c = -8

542) a = 0 | b = 2 | c = -7

543) a = 0 | b = 2 | c = -6

544) a = 0 | b = 2 | c = -5

545) a = 0 | b = 2 | c = -4

546) a = 0 | b = 2 | c = -3

547) a = 0 | b = 2 | c = -2

548) a = 0 | b = 2 | c = -1

549) a = 0 | b = 2 | c = 0

550) a = 0 | b = 2 | c = 1

551) a = 0 | b = 2 | c = 2

552) a = 0 | b = 2 | c = 3

553) a = 0 | b = 2 | c = 4

554) a = 0 | b = 2 | c = 5

555) a = 0 | b = 2 | c = 6

556) a = 0 | b = 2 | c = 7

557) a = 0 | b = 2 | c = 8

558) a = 0 | b = 2 | c = 9

559) a = 0 | b = 3 | c = -9

560) a = 0 | b = 3 | c = -8

561) a = 0 | b = 3 | c = -7

562) a = 0 | b = 3 | c = -6

563) a = 0 | b = 3 | c = -5

564) a = 0 | b = 3 | c = -4

565) a = 0 | b = 3 | c = -3

566) a = 0 | b = 3 | c = -2

567) a = 0 | b = 3 | c = -1

568) a = 0 | b = 3 | c = 0

569) a = 0 | b = 3 | c = 1

570) a = 0 | b = 3 | c = 2

571) a = 0 | b = 3 | c = 3

572) a = 0 | b = 3 | c = 4

573) a = 0 | b = 3 | c = 5

574) a = 0 | b = 3 | c = 6

575) a = 0 | b = 3 | c = 7

576) a = 0 | b = 3 | c = 8

577) a = 0 | b = 3 | c = 9

578) a = 0 | b = 4 | c = -9

579) a = 0 | b = 4 | c = -8

580) a = 0 | b = 4 | c = -7

581) a = 0 | b = 4 | c = -6

582) a = 0 | b = 4 | c = -5

583) a = 0 | b = 4 | c = -4

584) a = 0 | b = 4 | c = -3

585) a = 0 | b = 4 | c = -2

586) a = 0 | b = 4 | c = -1

587) a = 0 | b = 4 | c = 0

588) a = 0 | b = 4 | c = 1

589) a = 0 | b = 4 | c = 2

590) a = 0 | b = 4 | c = 3

591) a = 0 | b = 4 | c = 4

592) a = 0 | b = 4 | c = 5

593) a = 0 | b = 4 | c = 6

594) a = 0 | b = 4 | c = 7

595) a = 0 | b = 4 | c = 8

596) a = 0 | b = 4 | c = 9

597) a = 0 | b = 5 | c = -9

598) a = 0 | b = 5 | c = -8

599) a = 0 | b = 5 | c = -7

600) a = 0 | b = 5 | c = -6

601) a = 0 | b = 5 | c = -5

602) a = 0 | b = 5 | c = -4

603) a = 0 | b = 5 | c = -3

604) a = 0 | b = 5 | c = -2

605) a = 0 | b = 5 | c = -1

606) a = 0 | b = 5 | c = 0

607) a = 0 | b = 5 | c = 1

608) a = 0 | b = 5 | c = 2

609) a = 0 | b = 5 | c = 3

610) a = 0 | b = 5 | c = 4

611) a = 0 | b = 5 | c = 5

612) a = 0 | b = 5 | c = 6

613) a = 0 | b = 5 | c = 7

614) a = 0 | b = 5 | c = 8

615) a = 0 | b = 5 | c = 9

616) a = 0 | b = 6 | c = -9

617) a = 0 | b = 6 | c = -8

618) a = 0 | b = 6 | c = -7

619) a = 0 | b = 6 | c = -6

620) a = 0 | b = 6 | c = -5

621) a = 0 | b = 6 | c = -4

622) a = 0 | b = 6 | c = -3

623) a = 0 | b = 6 | c = -2

624) a = 0 | b = 6 | c = -1

625) a = 0 | b = 6 | c = 0

626) a = 0 | b = 6 | c = 1

627) a = 0 | b = 6 | c = 2

628) a = 0 | b = 6 | c = 3

629) a = 0 | b = 6 | c = 4

630) a = 0 | b = 6 | c = 5

631) a = 0 | b = 6 | c = 6

632) a = 0 | b = 6 | c = 7

633) a = 0 | b = 6 | c = 8

634) a = 0 | b = 6 | c = 9

635) a = 0 | b = 7 | c = -9

636) a = 0 | b = 7 | c = -8

637) a = 0 | b = 7 | c = -7

638) a = 0 | b = 7 | c = -6

639) a = 0 | b = 7 | c = -5

640) a = 0 | b = 7 | c = -4

641) a = 0 | b = 7 | c = -3

642) a = 0 | b = 7 | c = -2

643) a = 0 | b = 7 | c = -1

644) a = 0 | b = 7 | c = 0

645) a = 0 | b = 7 | c = 1

646) a = 0 | b = 7 | c = 2

647) a = 0 | b = 7 | c = 3

648) a = 0 | b = 7 | c = 4

649) a = 0 | b = 7 | c = 5

650) a = 0 | b = 7 | c = 6

651) a = 0 | b = 7 | c = 7

652) a = 0 | b = 7 | c = 8

653) a = 0 | b = 7 | c = 9

654) a = 0 | b = 8 | c = -9

655) a = 0 | b = 8 | c = -8

656) a = 0 | b = 8 | c = -7

657) a = 0 | b = 8 | c = -6

658) a = 0 | b = 8 | c = -5

659) a = 0 | b = 8 | c = -4

660) a = 0 | b = 8 | c = -3

661) a = 0 | b = 8 | c = -2

662) a = 0 | b = 8 | c = -1

663) a = 0 | b = 8 | c = 0

664) a = 0 | b = 8 | c = 1

665) a = 0 | b = 8 | c = 2

666) a = 0 | b = 8 | c = 3

667) a = 0 | b = 8 | c = 4

668) a = 0 | b = 8 | c = 5

669) a = 0 | b = 8 | c = 6

670) a = 0 | b = 8 | c = 7

671) a = 0 | b = 8 | c = 8

672) a = 0 | b = 8 | c = 9

673) a = 0 | b = 9 | c = -9

674) a = 0 | b = 9 | c = -8

675) a = 0 | b = 9 | c = -7

676) a = 0 | b = 9 | c = -6

677) a = 0 | b = 9 | c = -5

678) a = 0 | b = 9 | c = -4

679) a = 0 | b = 9 | c = -3

680) a = 0 | b = 9 | c = -2

681) a = 0 | b = 9 | c = -1

682) a = 0 | b = 9 | c = 0

683) a = 0 | b = 9 | c = 1

684) a = 0 | b = 9 | c = 2

685) a = 0 | b = 9 | c = 3

686) a = 0 | b = 9 | c = 4

687) a = 0 | b = 9 | c = 5

688) a = 0 | b = 9 | c = 6

689) a = 0 | b = 9 | c = 7

690) a = 0 | b = 9 | c = 8

691) a = 0 | b = 9 | c = 9

692) a = 1 | b = -9 | c = 0

693) a = 1 | b = -9 | c = 8

694) a = 1 | b = -8 | c = -9

695) a = 1 | b = -8 | c = 0

696) a = 1 | b = -8 | c = 7

697) a = 1 | b = -7 | c = -8

698) a = 1 | b = -7 | c = 0

699) a = 1 | b = -7 | c = 6

