1) a = 0.1 | b = 0.1 | c = 0

287) a = 0.5 | b = 4.3 | c = 3.8

288) a = 0.5 | b = 4.3 | c = 6.6

289) a = 0.5 | b = 4.4 | c = 0

290) a = 0.5 | b = 4.5 | c = 0

291) a = 0.5 | b = 4.5 | c = 4

292) a = 0.5 | b = 4.5 | c = 7

293) a = 0.5 | b = 4.5 | c = 9

294) a = 0.5 | b = 4.6 | c = 0

295) a = 0.5 | b = 4.7 | c = 0

296) a = 0.5 | b = 4.8 | c = 0

297) a = 0.5 | b = 4.8 | c = 4.3

298) a = 0.5 | b = 4.8 | c = 7.6

299) a = 0.5 | b = 4.9 | c = 0

300) a = 0.5 | b = 5 | c = 0

301) a = 0.5 | b = 5 | c = 4.5

302) a = 0.5 | b = 5 | c = 8

303) a = 0.5 | b = 5.1 | c = 0

304) a = 0.5 | b = 5.1 | c = 4.6

305) a = 0.5 | b = 5.2 | c = 0

306) a = 0.5 | b = 5.2 | c = 4.7

307) a = 0.5 | b = 5.2 | c = 8.4

308) a = 0.5 | b = 5.3 | c = 0

309) a = 0.5 | b = 5.3 | c = 4.8

310) a = 0.5 | b = 5.4 | c = 0

311) a = 0.5 | b = 5.4 | c = 4.9

312) a = 0.5 | b = 5.5 | c = 0

313) a = 0.5 | b = 5.5 | c = 5

314) a = 0.5 | b = 5.5 | c = 9

315) a = 0.5 | b = 5.6 | c = 0

316) a = 0.5 | b = 5.6 | c = 5.1

317) a = 0.5 | b = 5.7 | c = 0

318) a = 0.5 | b = 5.7 | c = 5.2

319) a = 0.5 | b = 5.8 | c = 0

320) a = 0.5 | b = 5.8 | c = 5.3

321) a = 0.5 | b = 5.9 | c = 0

322) a = 0.5 | b = 5.9 | c = 5.4

323) a = 0.5 | b = 6 | c = 0

324) a = 0.5 | b = 6 | c = 5.5

325) a = 0.5 | b = 6.1 | c = 0

326) a = 0.5 | b = 6.1 | c = 5.6

327) a = 0.5 | b = 6.2 | c = 0

328) a = 0.5 | b = 6.2 | c = 5.7

329) a = 0.5 | b = 6.3 | c = 0

330) a = 0.5 | b = 6.3 | c = 5.8

331) a = 0.5 | b = 6.4 | c = 0

332) a = 0.5 | b = 6.4 | c = 5.9

333) a = 0.5 | b = 6.5 | c = 0

334) a = 0.5 | b = 6.5 | c = 6

335) a = 0.5 | b = 6.6 | c = 0

336) a = 0.5 | b = 6.6 | c = 6.1

337) a = 0.5 | b = 6.7 | c = 0

338) a = 0.5 | b = 6.7 | c = 6.2

339) a = 0.5 | b = 6.8 | c = 0

340) a = 0.5 | b = 6.8 | c = 6.3

341) a = 0.5 | b = 6.9 | c = 0

342) a = 0.5 | b = 6.9 | c = 6.4

343) a = 0.5 | b = 7 | c = 0

344) a = 0.5 | b = 7 | c = 6.5

345) a = 0.5 | b = 7.1 | c = 0

346) a = 0.5 | b = 7.1 | c = 6.6

347) a = 0.5 | b = 7.2 | c = 0

348) a = 0.5 | b = 7.2 | c = 6.7

349) a = 0.5 | b = 7.3 | c = 0

350) a = 0.5 | b = 7.3 | c = 6.8

351) a = 0.5 | b = 7.4 | c = 0

352) a = 0.5 | b = 7.4 | c = 6.9

353) a = 0.5 | b = 7.5 | c = 0

354) a = 0.5 | b = 7.5 | c = 7

355) a = 0.5 | b = 7.6 | c = 0

356) a = 0.5 | b = 7.7 | c = 0

357) a = 0.5 | b = 7.7 | c = 7.2

358) a = 0.5 | b = 7.8 | c = 0

359) a = 0.5 | b = 7.8 | c = 7.3

360) a = 0.5 | b = 7.9 | c = 0

361) a = 0.5 | b = 7.9 | c = 7.4

362) a = 0.5 | b = 8 | c = 0

363) a = 0.5 | b = 8 | c = 7.5

364) a = 0.5 | b = 8.1 | c = 0

365) a = 0.5 | b = 8.1 | c = 7.6

366) a = 0.5 | b = 8.2 | c = 0

367) a = 0.5 | b = 8.3 | c = 0

368) a = 0.5 | b = 8.4 | c = 0

369) a = 0.5 | b = 8.4 | c = 7.9

370) a = 0.5 | b = 8.5 | c = 0

371) a = 0.5 | b = 8.5 | c = 8

372) a = 0.5 | b = 8.6 | c = 0

373) a = 0.5 | b = 8.6 | c = 8.1

374) a = 0.5 | b = 8.7 | c = 0

375) a = 0.5 | b = 8.8 | c = 0

376) a = 0.5 | b = 8.9 | c = 0

377) a = 0.5 | b = 8.9 | c = 8.4

378) a = 0.5 | b = 9 | c = 0

379) a = 0.5 | b = 9 | c = 8.5

380) a = 0.6 | b = 0.3 | c = 0

381) a = 0.6 | b = 0.6 | c = 0

382) a = 0.6 | b = 0.9 | c = 0

383) a = 0.6 | b = 1.2 | c = 0

384) a = 0.6 | b = 1.5 | c = 0

385) a = 0.6 | b = 1.5 | c = 0.6

386) a = 0.6 | b = 1.8 | c = 0

387) a = 0.6 | b = 2.4 | c = 0

388) a = 0.6 | b = 3 | c = 0

389) a = 0.6 | b = 3 | c = 2.4

390) a = 0.6 | b = 3.3 | c = 0

391) a = 0.6 | b = 3.6 | c = 0

392) a = 0.6 | b = 3.9 | c = 0

393) a = 0.6 | b = 3.9 | c = 4.5

394) a = 0.6 | b = 4.5 | c = 0

395) a = 0.6 | b = 4.5 | c = 7.5

396) a = 0.6 | b = 4.8 | c = 0

397) a = 0.6 | b = 5.1 | c = 0

398) a = 0.6 | b = 5.7 | c = 0

399) a = 0.6 | b = 6 | c = 0

400) a = 0.6 | b = 6.3 | c = 0

401) a = 0.6 | b = 6.6 | c = 0

402) a = 0.6 | b = 7.2 | c = 0

403) a = 0.6 | b = 7.5 | c = 0

404) a = 0.6 | b = 7.8 | c = 0

405) a = 0.6 | b = 8.1 | c = 0

406) a = 0.6 | b = 8.7 | c = 0

407) a = 0.6 | b = 9 | c = 0

408) a = 0.7 | b = 0.7 | c = 0

409) a = 0.7 | b = 1.4 | c = 0

410) a = 0.7 | b = 2.8 | c = 0

411) a = 0.7 | b = 3.5 | c = 0

412) a = 0.7 | b = 3.5 | c = 2.8

413) a = 0.7 | b = 5.6 | c = 0

414) a = 0.7 | b = 6.3 | c = 0

415) a = 0.7 | b = 7 | c = 0

416) a = 0.8 | b = 0.4 | c = 0

417) a = 0.8 | b = 0.8 | c = 0

418) a = 0.8 | b = 1.6 | c = 0

419) a = 0.8 | b = 2 | c = 0

420) a = 0.8 | b = 3.2 | c = 0

421) a = 0.8 | b = 3.6 | c = 0

422) a = 0.8 | b = 4 | c = 0

423) a = 0.8 | b = 4.4 | c = 0

424) a = 0.8 | b = 5.2 | c = 0

425) a = 0.8 | b = 5.2 | c = 4.4

426) a = 0.8 | b = 5.2 | c = 7.2

427) a = 0.8 | b = 6 | c = 0

428) a = 0.8 | b = 6.4 | c = 0

429) a = 0.8 | b = 6.8 | c = 0

430) a = 0.8 | b = 7.2 | c = 0

431) a = 0.8 | b = 8 | c = 0

432) a = 0.8 | b = 8.4 | c = 0

433) a = 0.8 | b = 8.8 | c = 0

434) a = 0.9 | b = 0.9 | c = 0

435) a = 0.9 | b = 1.8 | c = 0

436) a = 0.9 | b = 2.7 | c = 0

437) a = 0.9 | b = 3.6 | c = 0

438) a = 0.9 | b = 3.6 | c = 2.7

439) a = 0.9 | b = 4.5 | c = 0

440) a = 0.9 | b = 5.4 | c = 0

441) a = 0.9 | b = 6.3 | c = 0

442) a = 0.9 | b = 7.2 | c = 0

443) a = 0.9 | b = 8.1 | c = 0

444) a = 0.9 | b = 9 | c = 0

445) a = 1 | b = 0.1 | c = 0

446) a = 1 | b = 0.2 | c = 0

447) a = 1 | b = 0.3 | c = 0

448) a = 1 | b = 0.4 | c = 0

449) a = 1 | b = 0.5 | c = 0

450) a = 1 | b = 0.6 | c = 0

451) a = 1 | b = 0.7 | c = 0

452) a = 1 | b = 0.8 | c = 0

453) a = 1 | b = 0.9 | c = 0

454) a = 1 | b = 1 | c = 0

455) a = 1 | b = 1.1 | c = 0

456) a = 1 | b = 1.2 | c = 0

457) a = 1 | b = 1.3 | c = 0

458) a = 1 | b = 1.4 | c = 0

459) a = 1 | b = 1.5 | c = 0

460) a = 1 | b = 1.5 | c = 0.5

461) a = 1 | b = 1.6 | c = 0

462) a = 1 | b = 1.7 | c = 0

463) a = 1 | b = 1.8 | c = 0

464) a = 1 | b = 1.9 | c = 0

465) a = 1 | b = 2 | c = 0

466) a = 1 | b = 2.1 | c = 0

467) a = 1 | b = 2.1 | c = 0.8

468) a = 1 | b = 2.2 | c = 0

469) a = 1 | b = 2.3 | c = 0

470) a = 1 | b = 2.4 | c = 0

471) a = 1 | b = 2.5 | c = 0

472) a = 1 | b = 2.5 | c = 1

473) a = 1 | b = 2.5 | c = 1.5

474) a = 1 | b = 2.6 | c = 0

475) a = 1 | b = 2.7 | c = 0

476) a = 1 | b = 2.8 | c = 0

477) a = 1 | b = 2.9 | c = 0

478) a = 1 | b = 3 | c = 0

479) a = 1 | b = 3 | c = 2

480) a = 1 | b = 3.1 | c = 0

481) a = 1 | b = 3.1 | c = 1.3

482) a = 1 | b = 3.2 | c = 0

483) a = 1 | b = 3.3 | c = 0

484) a = 1 | b = 3.3 | c = 1.4

485) a = 1 | b = 3.4 | c = 0

486) a = 1 | b = 3.5 | c = 0

487) a = 1 | b = 3.5 | c = 1.5

488) a = 1 | b = 3.5 | c = 2.5

489) a = 1 | b = 3.5 | c = 3

490) a = 1 | b = 3.6 | c = 0

491) a = 1 | b = 3.6 | c = 2.6

492) a = 1 | b = 3.7 | c = 0

493) a = 1 | b = 3.7 | c = 1.6

494) a = 1 | b = 3.8 | c = 0

495) a = 1 | b = 3.9 | c = 0

496) a = 1 | b = 3.9 | c = 1.7

497) a = 1 | b = 3.9 | c = 2.9

498) a = 1 | b = 4 | c = 0

499) a = 1 | b = 4 | c = 3

500) a = 1 | b = 4.1 | c = 0

501) a = 1 | b = 4.2 | c = 0

502) a = 1 | b = 4.2 | c = 3.2

503) a = 1 | b = 4.3 | c = 0

504) a = 1 | b = 4.3 | c = 1.9

505) a = 1 | b = 4.3 | c = 3.3

506) a = 1 | b = 4.4 | c = 0

507) a = 1 | b = 4.5 | c = 0

508) a = 1 | b = 4.5 | c = 2

509) a = 1 | b = 4.5 | c = 3.5

510) a = 1 | b = 4.5 | c = 4.5

511) a = 1 | b = 4.5 | c = 5

512) a = 1 | b = 4.6 | c = 0

513) a = 1 | b = 4.7 | c = 0

514) a = 1 | b = 4.8 | c = 0

515) a = 1 | b = 4.8 | c = 3.8

516) a = 1 | b = 4.9 | c = 0

517) a = 1 | b = 5 | c = 0

518) a = 1 | b = 5 | c = 4

519) a = 1 | b = 5 | c = 6

520) a = 1 | b = 5.1 | c = 0

521) a = 1 | b = 5.1 | c = 2.3

522) a = 1 | b = 5.2 | c = 0

523) a = 1 | b = 5.2 | c = 4.2

524) a = 1 | b = 5.3 | c = 0

525) a = 1 | b = 5.3 | c = 2.4

526) a = 1 | b = 5.3 | c = 5.7

527) a = 1 | b = 5.4 | c = 0

528) a = 1 | b = 5.5 | c = 0

529) a = 1 | b = 5.5 | c = 2.5

530) a = 1 | b = 5.5 | c = 4.5

531) a = 1 | b = 5.5 | c = 6

532) a = 1 | b = 5.5 | c = 7

533) a = 1 | b = 5.5 | c = 7.5

534) a = 1 | b = 5.6 | c = 0

535) a = 1 | b = 5.7 | c = 0

536) a = 1 | b = 5.7 | c = 2.6

537) a = 1 | b = 5.7 | c = 4.7

538) a = 1 | b = 5.8 | c = 0

539) a = 1 | b = 5.9 | c = 0

540) a = 1 | b = 5.9 | c = 2.7

541) a = 1 | b = 6 | c = 0

542) a = 1 | b = 6 | c = 5

543) a = 1 | b = 6 | c = 8

544) a = 1 | b = 6.1 | c = 0

545) a = 1 | b = 6.1 | c = 2.8

546) a = 1 | b = 6.1 | c = 5.1

547) a = 1 | b = 6.2 | c = 0

548) a = 1 | b = 6.2 | c = 5.2

549) a = 1 | b = 6.3 | c = 0

550) a = 1 | b = 6.3 | c = 2.9

551) a = 1 | b = 6.3 | c = 5.3

552) a = 1 | b = 6.3 | c = 8.6

553) a = 1 | b = 6.4 | c = 0

554) a = 1 | b = 6.4 | c = 5.4

555) a = 1 | b = 6.5 | c = 0

556) a = 1 | b = 6.5 | c = 3

557) a = 1 | b = 6.5 | c = 5.5

558) a = 1 | b = 6.5 | c = 7.5

559) a = 1 | b = 6.5 | c = 9

560) a = 1 | b = 6.6 | c = 0

561) a = 1 | b = 6.6 | c = 5.6

562) a = 1 | b = 6.7 | c = 0

563) a = 1 | b = 6.7 | c = 3.1

564) a = 1 | b = 6.7 | c = 5.7

565) a = 1 | b = 6.7 | c = 7.8

566) a = 1 | b = 6.8 | c = 0

567) a = 1 | b = 6.8 | c = 5.8

568) a = 1 | b = 6.9 | c = 0

569) a = 1 | b = 6.9 | c = 3.2

570) a = 1 | b = 6.9 | c = 5.9

571) a = 1 | b = 7 | c = 0

572) a = 1 | b = 7 | c = 6

573) a = 1 | b = 7.1 | c = 0

574) a = 1 | b = 7.1 | c = 3.3

575) a = 1 | b = 7.1 | c = 6.1

576) a = 1 | b = 7.1 | c = 8.4

577) a = 1 | b = 7.2 | c = 0

578) a = 1 | b = 7.2 | c = 6.2

579) a = 1 | b = 7.3 | c = 0

580) a = 1 | b = 7.3 | c = 3.4

581) a = 1 | b = 7.3 | c = 6.3

582) a = 1 | b = 7.3 | c = 8.7

583) a = 1 | b = 7.4 | c = 0

584) a = 1 | b = 7.4 | c = 6.4

585) a = 1 | b = 7.5 | c = 0

586) a = 1 | b = 7.5 | c = 3.5

587) a = 1 | b = 7.5 | c = 6.5

588) a = 1 | b = 7.5 | c = 9

