1) d = 0.0 | x1 = 0 | x2 = -1.0
59) d = 54.8 | x1 = 0 | x2 = -74.0

60) d = 56.2 | x1 = 0 | x2 = -75.0

61) d = 59.3 | x1 = 0 | x2 = -77.0

62) d = 60.8 | x1 = 0 | x2 = -78.0

63) d = 62.4 | x1 = 0 | x2 = -79.0

64) d = 64.0 | x1 = 0 | x2 = -80.0

65) d = 68.9 | x1 = 0 | x2 = -83.0

66) d = 70.6 | x1 = 0 | x2 = -84.0

67) d = 72.2 | x1 = 0 | x2 = -85.0

68) d = 77.4 | x1 = 0 | x2 = -88.0

69) d = 79.2 | x1 = 0 | x2 = -89.0

70) d = 81.0 | x1 = 0 | x2 = -90.0

71) d = 0.0 | x1 = 0 | x2 = -0.5

72) d = 0.0 | x1 = 0 | x2 = -1.0

73) d = 0.2 | x1 = 0 | x2 = -2.0

74) d = 0.2 | x1 = 0 | x2 = -2.5

75) d = 0.6 | x1 = 0 | x2 = -4.0

76) d = 0.8 | x1 = 0 | x2 = -4.5

77) d = 1.0 | x1 = 0 | x2 = -5.0

78) d = 1.2 | x1 = 0 | x2 = -5.5

79) d = 1.7 | x1 = 0 | x2 = -6.5

80) d = 0.8 | x1 = -1.0 | x2 = -5.5

81) d = 0.2 | x1 = -2.0 | x2 = -4.5

82) d = 2.2 | x1 = 0 | x2 = -7.5

83) d = 0.2 | x1 = -2.5 | x2 = -5.0

84) d = 2.6 | x1 = 0 | x2 = -8.0

85) d = 2.9 | x1 = 0 | x2 = -8.5

86) d = 3.2 | x1 = 0 | x2 = -9.0

87) d = 4.0 | x1 = 0 | x2 = -10.0

88) d = 4.4 | x1 = 0 | x2 = -10.5

89) d = 1.7 | x1 = -2.0 | x2 = -8.5

90) d = 1.2 | x1 = -2.5 | x2 = -8.0

91) d = 0.2 | x1 = -4.0 | x2 = -6.5

92) d = 4.8 | x1 = 0 | x2 = -11.0

93) d = 6.2 | x1 = 0 | x2 = -12.5

94) d = 2.9 | x1 = -2.0 | x2 = -10.5

95) d = 2.2 | x1 = -2.5 | x2 = -10.0

96) d = 0.2 | x1 = -5.0 | x2 = -7.5

97) d = 6.8 | x1 = 0 | x2 = -13.0

98) d = 3.2 | x1 = -2.0 | x2 = -11.0

99) d = 1.0 | x1 = -4.0 | x2 = -9.0

100) d = 7.3 | x1 = 0 | x2 = -13.5

101) d = 1.7 | x1 = -3.5 | x2 = -10.0

102) d = 0.2 | x1 = -5.5 | x2 = -8.0

103) d = 9.0 | x1 = 0 | x2 = -15.0

104) d = 9.6 | x1 = 0 | x2 = -15.5

105) d = 4.4 | x1 = -2.5 | x2 = -13.0

106) d = 10.2 | x1 = 0 | x2 = -16.0

107) d = 11.6 | x1 = 0 | x2 = -17.0

108) d = 12.2 | x1 = 0 | x2 = -17.5

109) d = 6.2 | x1 = -2.5 | x2 = -15.0

110) d = 13.0 | x1 = 0 | x2 = -18.0

111) d = 13.7 | x1 = 0 | x2 = -18.5

112) d = 7.3 | x1 = -2.5 | x2 = -16.0

113) d = 15.2 | x1 = 0 | x2 = -19.5

114) d = 8.4 | x1 = -2.5 | x2 = -17.0

115) d = 16.0 | x1 = 0 | x2 = -20.0

116) d = 17.6 | x1 = 0 | x2 = -21.0

117) d = 19.4 | x1 = 0 | x2 = -22.0

118) d = 20.2 | x1 = 0 | x2 = -22.5

119) d = 22.1 | x1 = 0 | x2 = -23.5

120) d = 24.0 | x1 = 0 | x2 = -24.5

121) d = 25.0 | x1 = 0 | x2 = -25.0

122) d = 27.0 | x1 = 0 | x2 = -26.0

123) d = 29.2 | x1 = 0 | x2 = -27.0

124) d = 30.2 | x1 = 0 | x2 = -27.5

125) d = 32.5 | x1 = 0 | x2 = -28.5

126) d = 34.8 | x1 = 0 | x2 = -29.5

127) d = 36.0 | x1 = 0 | x2 = -30.0

128) d = 38.4 | x1 = 0 | x2 = -31.0

129) d = 41.0 | x1 = 0 | x2 = -32.0

130) d = 42.2 | x1 = 0 | x2 = -32.5

131) d = 44.9 | x1 = 0 | x2 = -33.5

132) d = 46.2 | x1 = 0 | x2 = -34.0

133) d = 47.6 | x1 = 0 | x2 = -34.5

134) d = 49.0 | x1 = 0 | x2 = -35.0

135) d = 51.8 | x1 = 0 | x2 = -36.0

136) d = 53.3 | x1 = 0 | x2 = -36.5

137) d = 54.8 | x1 = 0 | x2 = -37.0

138) d = 56.2 | x1 = 0 | x2 = -37.5

139) d = 59.3 | x1 = 0 | x2 = -38.5

140) d = 60.8 | x1 = 0 | x2 = -39.0

141) d = 62.4 | x1 = 0 | x2 = -39.5

142) d = 64.0 | x1 = 0 | x2 = -40.0

143) d = 68.9 | x1 = 0 | x2 = -41.5

144) d = 70.6 | x1 = 0 | x2 = -42.0

145) d = 72.2 | x1 = 0 | x2 = -42.5

146) d = 77.4 | x1 = 0 | x2 = -44.0

147) d = 79.2 | x1 = 0 | x2 = -44.5

148) d = 81.0 | x1 = 0 | x2 = -45.0

149) d = 0.1 | x1 = 0 | x2 = -1.0

150) d = 0.4 | x1 = 0 | x2 = -2.0

151) d = 0.8 | x1 = 0 | x2 = -3.0

152) d = 1.4 | x1 = 0 | x2 = -4.0

153) d = 2.2 | x1 = 0 | x2 = -5.0

154) d = 0.8 | x1 = -1.0 | x2 = -4.0

155) d = 3.2 | x1 = 0 | x2 = -6.0

156) d = 5.8 | x1 = 0 | x2 = -8.0

157) d = 9.0 | x1 = 0 | x2 = -10.0

158) d = 3.2 | x1 = -2.0 | x2 = -8.0

159) d = 10.9 | x1 = 0 | x2 = -11.0

160) d = 13.0 | x1 = 0 | x2 = -12.0

161) d = 15.2 | x1 = 0 | x2 = -13.0

162) d = 4.4 | x1 = -3.0 | x2 = -10.0

163) d = 20.2 | x1 = 0 | x2 = -15.0

164) d = 23.0 | x1 = 0 | x2 = -16.0

165) d = 26.0 | x1 = 0 | x2 = -17.0

166) d = 32.5 | x1 = 0 | x2 = -19.0

167) d = 36.0 | x1 = 0 | x2 = -20.0

168) d = 39.7 | x1 = 0 | x2 = -21.0

169) d = 43.6 | x1 = 0 | x2 = -22.0

170) d = 51.8 | x1 = 0 | x2 = -24.0

171) d = 56.2 | x1 = 0 | x2 = -25.0

172) d = 60.8 | x1 = 0 | x2 = -26.0

173) d = 65.6 | x1 = 0 | x2 = -27.0

174) d = 75.7 | x1 = 0 | x2 = -29.0

175) d = 81.0 | x1 = 0 | x2 = -30.0

176) d = 0.0 | x1 = 0 | x2 = -0.5

177) d = 0.2 | x1 = 0 | x2 = -1.0

178) d = 0.6 | x1 = 0 | x2 = -2.0

179) d = 1.0 | x1 = 0 | x2 = -2.5

180) d = 2.6 | x1 = 0 | x2 = -4.0

181) d = 3.2 | x1 = 0 | x2 = -4.5

182) d = 4.0 | x1 = 0 | x2 = -5.0

183) d = 4.8 | x1 = 0 | x2 = -5.5

184) d = 6.8 | x1 = 0 | x2 = -6.5

185) d = 3.2 | x1 = -1.0 | x2 = -5.5

186) d = 1.0 | x1 = -2.0 | x2 = -4.5

187) d = 9.0 | x1 = 0 | x2 = -7.5

188) d = 1.0 | x1 = -2.5 | x2 = -5.0

189) d = 10.2 | x1 = 0 | x2 = -8.0

190) d = 11.6 | x1 = 0 | x2 = -8.5

191) d = 13.0 | x1 = 0 | x2 = -9.0

192) d = 2.6 | x1 = -2.5 | x2 = -6.5

193) d = 16.0 | x1 = 0 | x2 = -10.0

194) d = 4.0 | x1 = -2.5 | x2 = -7.5

195) d = 17.6 | x1 = 0 | x2 = -10.5

196) d = 6.8 | x1 = -2.0 | x2 = -8.5

197) d = 4.8 | x1 = -2.5 | x2 = -8.0

198) d = 19.4 | x1 = 0 | x2 = -11.0

199) d = 25.0 | x1 = 0 | x2 = -12.5

200) d = 11.6 | x1 = -2.0 | x2 = -10.5

201) d = 27.0 | x1 = 0 | x2 = -13.0

202) d = 13.0 | x1 = -2.0 | x2 = -11.0

203) d = 29.2 | x1 = 0 | x2 = -13.5

204) d = 36.0 | x1 = 0 | x2 = -15.0

205) d = 38.4 | x1 = 0 | x2 = -15.5

206) d = 41.0 | x1 = 0 | x2 = -16.0

207) d = 46.2 | x1 = 0 | x2 = -17.0

208) d = 49.0 | x1 = 0 | x2 = -17.5

209) d = 51.8 | x1 = 0 | x2 = -18.0

210) d = 54.8 | x1 = 0 | x2 = -18.5

211) d = 60.8 | x1 = 0 | x2 = -19.5

212) d = 64.0 | x1 = 0 | x2 = -20.0

213) d = 70.6 | x1 = 0 | x2 = -21.0

214) d = 77.4 | x1 = 0 | x2 = -22.0

215) d = 81.0 | x1 = 0 | x2 = -22.5

216) d = 0.0 | x1 = 0 | x2 = -0.2

217) d = 0.0 | x1 = 0 | x2 = -0.4

218) d = 0.1 | x1 = 0 | x2 = -0.6

219) d = 0.2 | x1 = 0 | x2 = -0.8

220) d = 0.2 | x1 = 0 | x2 = -1.0

221) d = 0.4 | x1 = 0 | x2 = -1.2

222) d = 0.5 | x1 = 0 | x2 = -1.4

223) d = 0.6 | x1 = 0 | x2 = -1.6

224) d = 0.8 | x1 = 0 | x2 = -1.8

225) d = 1.0 | x1 = 0 | x2 = -2.0

226) d = 1.2 | x1 = 0 | x2 = -2.2

227) d = 1.4 | x1 = 0 | x2 = -2.4

228) d = 1.7 | x1 = 0 | x2 = -2.6

229) d = 2.0 | x1 = 0 | x2 = -2.8

230) d = 2.2 | x1 = 0 | x2 = -3.0

231) d = 0.2 | x1 = -1.0 | x2 = -2.0

232) d = 2.6 | x1 = 0 | x2 = -3.2

233) d = 2.9 | x1 = 0 | x2 = -3.4

234) d = 3.2 | x1 = 0 | x2 = -3.6

235) d = 0.6 | x1 = -1.0 | x2 = -2.6

236) d = 3.6 | x1 = 0 | x2 = -3.8

237) d = 4.0 | x1 = 0 | x2 = -4.0

238) d = 1.0 | x1 = -1.0 | x2 = -3.0

239) d = 4.4 | x1 = 0 | x2 = -4.2

240) d = 1.2 | x1 = -1.0 | x2 = -3.2

241) d = 4.8 | x1 = 0 | x2 = -4.4

242) d = 5.3 | x1 = 0 | x2 = -4.6

243) d = 5.8 | x1 = 0 | x2 = -4.8

244) d = 2.0 | x1 = -1.0 | x2 = -3.8

245) d = 6.2 | x1 = 0 | x2 = -5.0

246) d = 2.2 | x1 = -1.0 | x2 = -4.0

247) d = 0.2 | x1 = -2.0 | x2 = -3.0

248) d = 6.8 | x1 = 0 | x2 = -5.2

249) d = 2.6 | x1 = -1.0 | x2 = -4.2

250) d = 7.3 | x1 = 0 | x2 = -5.4

251) d = 7.8 | x1 = 0 | x2 = -5.6

252) d = 8.4 | x1 = 0 | x2 = -5.8

253) d = 9.0 | x1 = 0 | x2 = -6.0

254) d = 4.0 | x1 = -1.0 | x2 = -5.0

255) d = 1.0 | x1 = -2.0 | x2 = -4.0

256) d = 9.6 | x1 = 0 | x2 = -6.2

257) d = 4.4 | x1 = -1.0 | x2 = -5.2

258) d = 10.2 | x1 = 0 | x2 = -6.4

259) d = 4.8 | x1 = -1.0 | x2 = -5.4

260) d = 10.9 | x1 = 0 | x2 = -6.6

261) d = 5.3 | x1 = -1.0 | x2 = -5.6

262) d = 11.6 | x1 = 0 | x2 = -6.8

263) d = 5.8 | x1 = -1.0 | x2 = -5.8

264) d = 12.2 | x1 = 0 | x2 = -7.0

265) d = 6.2 | x1 = -1.0 | x2 = -6.0

266) d = 2.2 | x1 = -2.0 | x2 = -5.0

267) d = 0.2 | x1 = -3.0 | x2 = -4.0

268) d = 13.0 | x1 = 0 | x2 = -7.2

269) d = 6.8 | x1 = -1.0 | x2 = -6.2

270) d = 2.6 | x1 = -2.0 | x2 = -5.2

271) d = 13.7 | x1 = 0 | x2 = -7.4

272) d = 7.3 | x1 = -1.0 | x2 = -6.4

273) d = 14.4 | x1 = 0 | x2 = -7.6

274) d = 7.8 | x1 = -1.0 | x2 = -6.6

275) d = 15.2 | x1 = 0 | x2 = -7.8

276) d = 8.4 | x1 = -1.0 | x2 = -6.8

277) d = 3.6 | x1 = -2.0 | x2 = -5.8

278) d = 16.0 | x1 = 0 | x2 = -8.0

279) d = 9.0 | x1 = -1.0 | x2 = -7.0

280) d = 4.0 | x1 = -2.0 | x2 = -6.0

281) d = 1.0 | x1 = -3.0 | x2 = -5.0

282) d = 16.8 | x1 = 0 | x2 = -8.2

283) d = 17.6 | x1 = 0 | x2 = -8.4

284) d = 10.2 | x1 = -1.0 | x2 = -7.4

285) d = 4.8 | x1 = -2.0 | x2 = -6.4

286) d = 18.5 | x1 = 0 | x2 = -8.6

287) d = 10.9 | x1 = -1.0 | x2 = -7.6

288) d = 5.3 | x1 = -2.0 | x2 = -6.6

289) d = 19.4 | x1 = 0 | x2 = -8.8

290) d = 20.2 | x1 = 0 | x2 = -9.0

291) d = 12.2 | x1 = -1.0 | x2 = -8.0

292) d = 6.2 | x1 = -2.0 | x2 = -7.0

293) d = 2.2 | x1 = -3.0 | x2 = -6.0

294) d = 21.2 | x1 = 0 | x2 = -9.2

295) d = 22.1 | x1 = 0 | x2 = -9.4

296) d = 23.0 | x1 = 0 | x2 = -9.6

297) d = 14.4 | x1 = -1.0 | x2 = -8.6

298) d = 7.8 | x1 = -2.0 | x2 = -7.6

299) d = 24.0 | x1 = 0 | x2 = -9.8

300) d = 25.0 | x1 = 0 | x2 = -10.0

301) d = 16.0 | x1 = -1.0 | x2 = -9.0

302) d = 9.0 | x1 = -2.0 | x2 = -8.0

303) d = 26.0 | x1 = 0 | x2 = -10.2

304) d = 16.8 | x1 = -1.0 | x2 = -9.2

305) d = 27.0 | x1 = 0 | x2 = -10.4

306) d = 17.6 | x1 = -1.0 | x2 = -9.4

307) d = 10.2 | x1 = -2.0 | x2 = -8.4

308) d = 28.1 | x1 = 0 | x2 = -10.6

309) d = 18.5 | x1 = -1.0 | x2 = -9.6

310) d = 29.2 | x1 = 0 | x2 = -10.8

311) d = 19.4 | x1 = -1.0 | x2 = -9.8

312) d = 30.2 | x1 = 0 | x2 = -11.0

313) d = 20.2 | x1 = -1.0 | x2 = -10.0

314) d = 12.2 | x1 = -2.0 | x2 = -9.0

315) d = 31.4 | x1 = 0 | x2 = -11.2

316) d = 21.2 | x1 = -1.0 | x2 = -10.2

317) d = 32.5 | x1 = 0 | x2 = -11.4

318) d = 22.1 | x1 = -1.0 | x2 = -10.4

319) d = 33.6 | x1 = 0 | x2 = -11.6

320) d = 23.0 | x1 = -1.0 | x2 = -10.6

321) d = 34.8 | x1 = 0 | x2 = -11.8

322) d = 24.0 | x1 = -1.0 | x2 = -10.8

323) d = 36.0 | x1 = 0 | x2 = -12.0

324) d = 25.0 | x1 = -1.0 | x2 = -11.0

325) d = 37.2 | x1 = 0 | x2 = -12.2

326) d = 26.0 | x1 = -1.0 | x2 = -11.2

327) d = 38.4 | x1 = 0 | x2 = -12.4

328) d = 27.0 | x1 = -1.0 | x2 = -11.4

329) d = 39.7 | x1 = 0 | x2 = -12.6

330) d = 28.1 | x1 = -1.0 | x2 = -11.6

331) d = 41.0 | x1 = 0 | x2 = -12.8

332) d = 29.2 | x1 = -1.0 | x2 = -11.8

333) d = 42.2 | x1 = 0 | x2 = -13.0

334) d = 30.2 | x1 = -1.0 | x2 = -12.0

335) d = 43.6 | x1 = 0 | x2 = -13.2

336) d = 31.4 | x1 = -1.0 | x2 = -12.2

337) d = 44.9 | x1 = 0 | x2 = -13.4

338) d = 32.5 | x1 = -1.0 | x2 = -12.4

339) d = 46.2 | x1 = 0 | x2 = -13.6

340) d = 33.6 | x1 = -1.0 | x2 = -12.6

341) d = 47.6 | x1 = 0 | x2 = -13.8

342) d = 34.8 | x1 = -1.0 | x2 = -12.8

343) d = 49.0 | x1 = 0 | x2 = -14.0

344) d = 36.0 | x1 = -1.0 | x2 = -13.0

345) d = 50.4 | x1 = 0 | x2 = -14.2

346) d = 37.2 | x1 = -1.0 | x2 = -13.2

347) d = 51.8 | x1 = 0 | x2 = -14.4

348) d = 38.4 | x1 = -1.0 | x2 = -13.4

349) d = 53.3 | x1 = 0 | x2 = -14.6

350) d = 39.7 | x1 = -1.0 | x2 = -13.6

351) d = 54.8 | x1 = 0 | x2 = -14.8

352) d = 41.0 | x1 = -1.0 | x2 = -13.8

353) d = 56.2 | x1 = 0 | x2 = -15.0

354) d = 42.2 | x1 = -1.0 | x2 = -14.0

355) d = 57.8 | x1 = 0 | x2 = -15.2

356) d = 59.3 | x1 = 0 | x2 = -15.4

357) d = 44.9 | x1 = -1.0 | x2 = -14.4

358) d = 60.8 | x1 = 0 | x2 = -15.6

359) d = 46.2 | x1 = -1.0 | x2 = -14.6

360) d = 62.4 | x1 = 0 | x2 = -15.8

361) d = 47.6 | x1 = -1.0 | x2 = -14.8

362) d = 64.0 | x1 = 0 | x2 = -16.0

363) d = 49.0 | x1 = -1.0 | x2 = -15.0

364) d = 65.6 | x1 = 0 | x2 = -16.2

365) d = 50.4 | x1 = -1.0 | x2 = -15.2

366) d = 67.2 | x1 = 0 | x2 = -16.4

367) d = 68.9 | x1 = 0 | x2 = -16.6

368) d = 70.6 | x1 = 0 | x2 = -16.8

369) d = 54.8 | x1 = -1.0 | x2 = -15.8

370) d = 72.2 | x1 = 0 | x2 = -17.0

371) d = 56.2 | x1 = -1.0 | x2 = -16.0

372) d = 74.0 | x1 = 0 | x2 = -17.2

373) d = 57.8 | x1 = -1.0 | x2 = -16.2

374) d = 75.7 | x1 = 0 | x2 = -17.4

375) d = 77.4 | x1 = 0 | x2 = -17.6

376) d = 79.2 | x1 = 0 | x2 = -17.8

377) d = 62.4 | x1 = -1.0 | x2 = -16.8

378) d = 81.0 | x1 = 0 | x2 = -18.0

379) d = 64.0 | x1 = -1.0 | x2 = -17.0

380) d = 0.1 | x1 = 0 | x2 = -0.5

381) d = 0.4 | x1 = 0 | x2 = -1.0

382) d = 0.8 | x1 = 0 | x2 = -1.5

383) d = 1.4 | x1 = 0 | x2 = -2.0

384) d = 2.2 | x1 = 0 | x2 = -2.5

385) d = 0.8 | x1 = -0.5 | x2 = -2.0

386) d = 3.2 | x1 = 0 | x2 = -3.0

387) d = 5.8 | x1 = 0 | x2 = -4.0

388) d = 9.0 | x1 = 0 | x2 = -5.0

389) d = 3.2 | x1 = -1.0 | x2 = -4.0

390) d = 10.9 | x1 = 0 | x2 = -5.5

391) d = 13.0 | x1 = 0 | x2 = -6.0

392) d = 15.2 | x1 = 0 | x2 = -6.5

393) d = 4.4 | x1 = -1.5 | x2 = -5.0

394) d = 20.2 | x1 = 0 | x2 = -7.5

395) d = 2.2 | x1 = -2.5 | x2 = -5.0

396) d = 23.0 | x1 = 0 | x2 = -8.0

397) d = 26.0 | x1 = 0 | x2 = -8.5

398) d = 32.5 | x1 = 0 | x2 = -9.5

399) d = 36.0 | x1 = 0 | x2 = -10.0

400) d = 39.7 | x1 = 0 | x2 = -10.5

401) d = 43.6 | x1 = 0 | x2 = -11.0

402) d = 51.8 | x1 = 0 | x2 = -12.0

403) d = 56.2 | x1 = 0 | x2 = -12.5

404) d = 60.8 | x1 = 0 | x2 = -13.0

405) d = 65.6 | x1 = 0 | x2 = -13.5

406) d = 75.7 | x1 = 0 | x2 = -14.5

407) d = 81.0 | x1 = 0 | x2 = -15.0

408) d = 0.5 | x1 = 0 | x2 = -1.0

409) d = 2.0 | x1 = 0 | x2 = -2.0

410) d = 7.8 | x1 = 0 | x2 = -4.0

411) d = 12.2 | x1 = 0 | x2 = -5.0

412) d = 4.4 | x1 = -1.0 | x2 = -4.0

413) d = 31.4 | x1 = 0 | x2 = -8.0

414) d = 39.7 | x1 = 0 | x2 = -9.0

415) d = 49.0 | x1 = 0 | x2 = -10.0

416) d = 0.2 | x1 = 0 | x2 = -0.5

417) d = 0.6 | x1 = 0 | x2 = -1.0

418) d = 2.6 | x1 = 0 | x2 = -2.0

419) d = 4.0 | x1 = 0 | x2 = -2.5

420) d = 10.2 | x1 = 0 | x2 = -4.0

421) d = 13.0 | x1 = 0 | x2 = -4.5

422) d = 16.0 | x1 = 0 | x2 = -5.0

423) d = 19.4 | x1 = 0 | x2 = -5.5

424) d = 27.0 | x1 = 0 | x2 = -6.5

425) d = 13.0 | x1 = -1.0 | x2 = -5.5

426) d = 4.0 | x1 = -2.0 | x2 = -4.5

427) d = 36.0 | x1 = 0 | x2 = -7.5

428) d = 41.0 | x1 = 0 | x2 = -8.0

429) d = 46.2 | x1 = 0 | x2 = -8.5

430) d = 51.8 | x1 = 0 | x2 = -9.0

431) d = 64.0 | x1 = 0 | x2 = -10.0

432) d = 70.6 | x1 = 0 | x2 = -10.5

433) d = 77.4 | x1 = 0 | x2 = -11.0

434) d = 0.8 | x1 = 0 | x2 = -1.0

435) d = 3.2 | x1 = 0 | x2 = -2.0

436) d = 7.3 | x1 = 0 | x2 = -3.0

437) d = 13.0 | x1 = 0 | x2 = -4.0

438) d = 3.2 | x1 = -1.0 | x2 = -3.0

439) d = 20.2 | x1 = 0 | x2 = -5.0

440) d = 29.2 | x1 = 0 | x2 = -6.0

441) d = 39.7 | x1 = 0 | x2 = -7.0

442) d = 51.8 | x1 = 0 | x2 = -8.0

443) d = 65.6 | x1 = 0 | x2 = -9.0

444) d = 81.0 | x1 = 0 | x2 = -10.0

445) d = 0.0 | x1 = 0 | x2 = -0.1

446) d = 0.0 | x1 = 0 | x2 = -0.2

447) d = 0.1 | x1 = 0 | x2 = -0.3

448) d = 0.2 | x1 = 0 | x2 = -0.4

449) d = 0.2 | x1 = 0 | x2 = -0.5

450) d = 0.4 | x1 = 0 | x2 = -0.6

451) d = 0.5 | x1 = 0 | x2 = -0.7

452) d = 0.6 | x1 = 0 | x2 = -0.8

453) d = 0.8 | x1 = 0 | x2 = -0.9

454) d = 1 | x1 = 0 | x2 = -1.0

455) d = 1.2 | x1 = 0 | x2 = -1.1

456) d = 1.4 | x1 = 0 | x2 = -1.2

457) d = 1.7 | x1 = 0 | x2 = -1.3

458) d = 2.0 | x1 = 0 | x2 = -1.4

459) d = 2.2 | x1 = 0 | x2 = -1.5

460) d = 0.2 | x1 = -0.5 | x2 = -1.0

461) d = 2.6 | x1 = 0 | x2 = -1.6

462) d = 2.9 | x1 = 0 | x2 = -1.7

463) d = 3.2 | x1 = 0 | x2 = -1.8

464) d = 3.6 | x1 = 0 | x2 = -1.9

465) d = 4 | x1 = 0 | x2 = -2.0

466) d = 4.4 | x1 = 0 | x2 = -2.1

467) d = 1.2 | x1 = -0.5 | x2 = -1.6

468) d = 4.8 | x1 = 0 | x2 = -2.2

469) d = 5.3 | x1 = 0 | x2 = -2.3

470) d = 5.8 | x1 = 0 | x2 = -2.4

471) d = 6.2 | x1 = 0 | x2 = -2.5

472) d = 2.2 | x1 = -0.5 | x2 = -2.0

473) d = 0.2 | x1 = -1.0 | x2 = -1.5

474) d = 6.8 | x1 = 0 | x2 = -2.6

475) d = 7.3 | x1 = 0 | x2 = -2.7

476) d = 7.8 | x1 = 0 | x2 = -2.8

477) d = 8.4 | x1 = 0 | x2 = -2.9

478) d = 9 | x1 = 0 | x2 = -3.0

479) d = 1 | x1 = -1.0 | x2 = -2.0

480) d = 9.6 | x1 = 0 | x2 = -3.1

481) d = 4.4 | x1 = -0.5 | x2 = -2.6

482) d = 10.2 | x1 = 0 | x2 = -3.2

483) d = 10.9 | x1 = 0 | x2 = -3.3

484) d = 5.3 | x1 = -0.5 | x2 = -2.8

485) d = 11.6 | x1 = 0 | x2 = -3.4

486) d = 12.2 | x1 = 0 | x2 = -3.5

487) d = 6.2 | x1 = -0.5 | x2 = -3.0

488) d = 2.2 | x1 = -1.0 | x2 = -2.5

489) d = 0.2 | x1 = -1.5 | x2 = -2.0

490) d = 13.0 | x1 = 0 | x2 = -3.6

